id,name,estimated_cost
4,"Syd The Cider Press",150
8,Dehydrator,100
11,"Linoleum Block Carving Tools",15
13,"Paper Cutter",20
20,Pitcher,10
22,"Hand Saw",15
23,"Hand Saw",15
24,"Hand Saw",15
25,"Back Saw",15
28,Square,20
29,Yardstick,5
31,"Coping Saw",15
32,"Pry Bar",10
35,"Power Sander",50
38,"Key Hole Saw",15
41,"Adjustable Wrench, Curved Handle",15
42,Laminator,50
44,"Work Gloves",15
48,"Dust Mop",15
50,"Lug Nut Wrench",15
52,"Adjusable Wrench",15
53,"Adjusable Wrench",15
55,Pliers,15
56,Pliers,15
60,"Flat Screwdriver",15
61,"Flat Screwdriver",15
62,"Torx Screwdriver",15
63,"Flat Screwdriver",15
64,"Phillips Screwdriver",15
65,"Phillips Screwdriver",10
66,"Flat Screwdriver",10
68,"Moving Blanket",15
69,"Bit Set",15
75,"Hole Saw",20
83,Flashlight,10
87,"Moving Blanket",15
94,"Moving Blanket",15
96,Level,15
97,Scraper,20
98,"Screwdriver, #9",15
99,Ruler,5
100,Heater,25
103,"Stud Finder",20
105,"Stud Finder",15
110,"Paint Tray",10
111,"Paint Roller, Small",15
112,"Paint Roller, Small",15
114,Plunger,10
115,Plunger,10
116,"Projector Screen (White)",50
120,"Moving Blanket",15
125,Microphone,50
127,Scissors,5
128,Scissors,10
129,Pliers,20
131,"Paint Roller, Small",15
132,"Caulk Gun",15
135,"Scraper, Wide",15
136,Pliers,15
137,"Lug Nut Wrench",20
138,"Flat Screwdriver",10
142,"Phillips Screwdriver, #2",10
143,"Adjusable Wrench",10
145,"Sanding Block Handle",15
146,"Sanding Block",15
147,Pliers,15
148,"Sanding Block, Handled",15
150,Scissors,10
151,Pliers,15
152,"Flat Screwdriver",8
155,"Torx Screwdriver, T15",15
156,"Multibit Screwdriver",15
157,Pliers,15
160,"Scraper, Multitool",15
161,"Small Pick",15
163,"Sanding Block",15
165,"Folding Chair, Metal",15
166,"Folding Chair, Metal",15
167,"Folding Chair, Metal",15
168,"Folding Chair, Metal",15
169,"Folding Chair, Metal",15
170,"Folding Chair, Metal",20
171,"Folding Chair, Metal",15
172,"Folding Chair, Metal",15
173,"Folding Chair, Metal",15
174,"Folding Chair, Metal",15
175,"Folding Chair, Metal",15
176,"Folding Chair, Metal",20
177,"Folding Chair, Plastic",15
178,"Folding Chair, Metal",15
179,"Folding Chair, Metal",20
180,Mannequin,20
182,"Glue Gun",15
186,"Ice Cube Tray, Star",5
189,"Paint Brush",8
191,Trowel,15
192,"Corner Level",25
195,"Socket Set",15
197,"Flat Screwdriver",10
198,Scissors,5
200,Scissors,5
201,"Power Strip",10
202,"Extension Cord",15
203,Papercutter,20
205,"Scissors, Left-Handed",7
206,"Phillips Screwdriver",10
208,"Fruit Picker",20
209,"Fruit Picker",20
210,"Fruit Picker",15
211,"Car Ramp",25
212,Level,20
213,Broom,15
215,"Shop Vac, Wet Only, 8 Gal",50
216,"Claw Hammer",15
217,"Profile Sander Kit",75
218,"Pry Bar",12
219,"Phillips Screwdriver, Small",5
220,"Karaoke Machine",25
224,"Auger Bit Set",25
225,"Socket Wrench",20
226,"flash diffuser",20
227,"Tap Set",25
231,"Snowboard Boots, Women's Size 7",25
232,"Fishing Pole",20
233,Snowboard,75
235,Hawk,20
236,Hawk,15
237,"Airsled Appliance Mover",150
238,Airsled,150
240,Compressor,75
241,"Airsled Compressor",150
242,"Paint Spinning Wheel",50
243,Mancala,15
244,Backgammon,15
247,"Big Boggle",20
248,"Master Mind",15
249,Othello,15
250,"Chain Checker",20
252,"Paint Roller",15
253,"Paint Tray",10
254,Scraper,15
256,"Bicycle Trailer",50
257,"Taping Knife",15
258,"Portable Easel",50
259,"Cordless Drill Set",25
260,"Plastic Bucket",5
261,"Spoke Wrench",15
262,"Spoke Wrench",10
263,"Spoke Wrench",15
266,Welder,75
267,"Outfeed Roller",50
268,Multitool,20
269,Lopper,15
272,"Work Bench",50
274,"Orchard Ladder",50
275,Table,25
276,"Hair Clippers",15
277,"Reciprocating Saw, Cordless",80
278,"Bar Clamp",25
279,"Soldering Iron Holder",15
281,"18V Battery Charger BATT_C",20
282,"Profile Sander",50
283,"Vacuum Sealer",40
284,"Chain Ring Nut Wrench",20
286,"Chain Whip",20
287,"Pedal Wrench",50
289,"Pin Spanner",20
290,"Pin Spanner",25
291,"Cone Wrench, ?mm",25
292,"Cone Wrench, ?mm",15
293,"Cone Wrench, ?mm",20
294,"Cone Wrench, ?mm",25
295,"Cone Wrench, ?mm",20
296,"Cone Wrench, ?mm",25
297,"Cone Wrench, ?mm",15
298,"Cone Wrench, ?mm",15
299,"Cone Wrench, ?mm",20
300,"Bottom Bracket",40
301,"Cassette Lock Ring Tool",25
302,"Water Jug",15
303,"Sleeping Pad",10
305,"Nail Gun",75
307,"Scroll Saw",80
308,"Hand Clamp",8
311,"Hand Clamp",15
313,"Hand Clamp",10
314,"Work Light",25
315,"Extension Cord",10
316,"Extension Cord",15
317,Ladder,50
318,"Cordless Drill With Flashlight",40
319,"Hand Truck, Convertible",80
320,Laminator,40
322,Machete,15
326,C-clamp,8
329,"Mud Pan",15
330,"Mud Pan",15
331,"Screwdriver Set, Narrow",15
332,"Paint Guide",20
333,"Paint Brush",5
334,"Paint Guide",15
335,"Paint Guide",20
339,"Paint Mixer Drill Bit",15
340,Plane,20
341,"Incra Jig Guide",50
342,"Bristle Brush",15
343,"Bristle Brush",15
344,"Sanding Block",15
346,"Spray Gun Kit",40
347,"Staple Gun",50
348,"Paint Sprayer",50
349,"Air Compressor Hose",25
350,"Cable Tracker",50
351,"Painter's Mitt",20
354,Squeegee,15
355,"Window Washer",15
356,"Band Saw",75
357,"3D Printer",150
359,"Adjustable Square",15
362,"Key Hole Saw",15
363,"Air Compressor",100
365,T-square,15
366,"Back Saw",20
367,"Wire Cutter",15
368,"Laser Level",50
370,"Glass Rimmer",15
371,"Glass Rimmer",20
372,Pitcher,5
373,Pitcher,5
374,Pitcher,10
375,Pitcher,10
376,Pitcher,10
377,"Rope Handle Tub",10
378,"Rope Handle Tub",10
379,"Pipe Wrench",15
380,Respirator,20
383,"Snow Shovel",15
385,"Snow Shovel",15
387,"Key Hole Saw",10
388,"Tablecloth, Round",50
389,"Tablecloth, Round",50
391,"Tablecloth, Round",25
392,"Belt Sander",50
393,"Claw Hammer",15
394,Hammer,15
395,"Hand Saw",15
396,"Circular Saw",50
398,"House Jack",75
400,"House Jack",50
402,"Pick Mattock",50
403,Hoe,15
404,Jigsaw,25
407,"Fertilizer Spreader",50
408,"Hand Saw, Large",15
409,"Flat Screwdriver",10
411,"Circular Saw",50
417,"Grain Mill",50
418,"Grain Mill",25
419,"Flat Screwdriver",15
420,"Quick Grip Clamp",15
421,"Bench Mount Vise",50
422,"Flat Bar Clamp",20
425,"Flat Screwdriver",10
427,"Power Strip",15
428,File,10
430,"Extension Cord",15
432,"Socket Accessories",25
436,"Socket Set, Metric and SAE",25
437,"Crow Bar",15
438,Tiller,25
440,"Soldering Iron",15
441,Bucket,10
446,C-clamp,10
447,C-clamp,15
451,"Magnifying Lamp",50
453,"Ear Protector",20
454,"Bulb Planter",15
455,C-clamp,15
457,"Knee Pads",15
458,"Knee Pads",15
459,"Work Gloves",15
460,"Extension Cord",10
462,"Outfeed Roller",50
464,"Soil Blocker",25
465,"Pin Punch",15
466,"Pin Punch",15
467,"Center Hole Punch",15
468,"Shop Vac, Wet/Dry, 1.5 Gal",50
469,"Flower Planter",20
470,"Ratchet Strap",15
471,"Ratchet Strap",15
472,"Box Cutter",10
474,"Wire Stripper",15
476,"Cordless Drill",50
479,Level,15
482,Workbench,50
485,"Socket Wrench, Jointed",15
486,"Cordless Drill And Circular Saw",75
487,Humidifier,25
491,"Plug Tap Set",25
492,"Tap 1 1/4 - 11 1/2 NPT Pipe Tap",50
493,"Air Compressor",50
495,"Work Light",20
496,"Extension Cord",15
497,"Extension Cord, 4 Outlet",15
499,"Work Light",20
503,"Corner Clamp",20
504,"Corner Clamp",15
506,"Battery Charger BATT_C 18V",25
507,"Safety Glasses, Vented",10
509,"Paint Guide",15
510,"Hand Buffer Glove",15
511,"Lawn Mower",50
512,"Bench Mount Vise",50
513,"Phillips Screwdriver, Long",15
516,Mugs,15
520,"Key Hole Saw",15
521,"Cone Wrench, 26mm, 32mm",20
522,"Chain Wheel",20
526,"Nut Driver, ?in",15
527,"Nut Driver, ?in",15
531,"Nut Driver",15
533,"Nut Driver, ?in",15
536,"Nut Driver",15
537,"Nut Driver",15
538,"Nut Driver, ?in",15
543,"Nut Driver, ?in",15
544,"Nut Driver, ?in",15
546,"Nut Driver, ?in",20
547,"Nut Driver, ?in",15
549,"Nut Driver, ?in",15
550,"Nut Driver",15
552,"Nut Driver, ?in",15
556,"Nut Driver, ?in",15
564,"Moen Installation Tool",20
566,"Safety Glasses",15
567,"Safety Glasses",10
568,"Tubing Cutter",20
570,Shovel,15
571,"Drop Cloth",15
573,"Tire Lever",15
574,"Scissor Jack",20
575,"Pressure Washer",100
576,"Ball Peen Hammer",15
577,"Extension Cord With Power Strip",15
579,Pincer,15
580,"Paint Roller",15
581,"Socket 1 1/16 in",15
583,"Hedge Trimmer",35
585,Chisel,15
586,"Putty Knife",10
587,"Miter Box",20
588,"Angle Grinder",25
589,Canner,25
590,"Allen Wrench Set",15
591,Dehydrator,50
592,"Phillips Screwdriver",15
593,Lathe,75
594,"Fence System",50
595,"Tubing Cutter, 1/8in to 1-1/18in",20
597,"20V Battery",15
598,"Battery Charger 20V",25
599,"Air Chuck",20
600,"Paint Sprayer",40
601,"Work Gloves, Rubber Coated",10
602,"Paint Tray",5
603,"Paint Roller",15
604,T-square,15
605,"Pressure Washer",75
606,"Work Gloves",10
607,File,15
608,"Heat Gun",20
611,"Sharpening Stone",15
612,"Sharpening Stone",12
613,"Sharpening Stone",15
614,Stone,15
615,"Extension Cord",10
616,"Battery Charger",40
617,Scrawl,15
618,"cut guide",20
619,"Tortilla Press",25
620,"USB A To USB B Cable",15
621,"Sewing Machine",50
622,"Band Clamp",15
623,"Torx Screwdriver, T10",15
624,"Wire Stripper",15
625,"Claw Hammer",15
627,"Multimaster Quickstart",80
628,"Torx Screwdriver, T15",15
629,"Paint Roller",10
630,"Torx Screwdriver, T15",15
631,Square,25
632,Square,25
633,"Infrared Thermometer",50
634,"Circuit Breaker Finder",25
635,"First Aid Kit",25
636,"Safety Glasses",15
637,"Sewing Machine",50
638,Router,40
639,"Spark Plug Socket",15
640,"Ratchet Strap",15
641,"Tool Belt Apron",20
642,"Back Saw",20
643,Scanner,50
651,clamp,15
652,"Air Compressor Car Tire Adapter",15
653,"Hand Saw",15
655,"Brad Nailer, Pneumatic",50
656,"Cordless Drill",50
657,"Variable Speed Paint Remover",75
659,"Work Light",20
660,"Pipe Wrench",15
663,"Miter Saw",75
664,"Power Screwdriver Set",25
669,"Jumper Cables",15
670,"Corded Drill, 1/2in",60
671,"Truing Stand",50
672,"Corded Drill",40
673,"Rubber Mallet",10
674,Chalkline,15
675,"Crow Bar, Chisel End",15
677,"Clam Shovel",20
679,"Dado Blade Set",50
680,"Back Saw",15
682,"Needle Nose Pliers",15
683,"Pasta Maker",50
684,"Electronics Repair Kit",40
685,Rake,15
686,"Caulk Gun",15
687,"Pipe Cutter",15
688,"Pipe Cutter",20
689,"Ratchet Strap",15
690,"Spoke Wrench",15
691,Respirator,25
692,"Cassette Tool",20
693,"Bolt Cutter",20
694,"Dremel Bits",20
695,"Safety Glasses",15
696,"Paint Roller Extension Pole",20
697,"Paint Roller Extension Pole",20
698,"Bar Clamp",15
699,"Scraper, Multitool",20
700,"Pin Punch",10
701,"Wire Stripper",15
703,"Extension Cord",10
704,"Dremel Sharpening Tool",25
705,"Spoke Wrench",15
707,"Ratchet Strap",15
708,"Table Saw With Accessories",150
710,Bucket,15
712,"Jack Post",50
713,"Jack Post",50
714,"Jack Post",60
715,"Jack Post",40
716,"Jar Lifter",10
717,"Paint Brush",10
718,"Cordless Impact Driver",50
719,"Circular Saw & Drill, Cordless",80
720,"Cordless Drill And Impact Set",75
721,"Cordless Drill Set",50
722,Flashlight,25
723,"Circular Saw, Cordless",75
725,"20V Battery",25
728,Router,50
730,Axe,15
732,"Sanding Table",75
733,Crate,15
734,"Belt Sander",40
735,"Bungee Cord",10
736,"Socket Set",20
737,File,15
738,"Coffee Bag",50
739,"Phillips Screwdriver",15
740,"Crank Removal Tool",20
741,"Phillips Screwdriver, Narrow",10
742,"Loaded Questions",15
743,"Phillips Screwdriver, #1",5
744,"24 Plates in Yellow Bucket",20
745,File,15
746,"Vise Grip, Medium",15
747,"Air Compressor Hose",15
748,"Multibit Screwdriver",15
749,"Breaker Bar",20
750,"Metal Mallet And Rubber",15
751,"Chain Tool",15
752,"Socket 1in",40
753,"Socket 13/16in",15
754,"Stand-Up Weed Puller",50
755,"Weed Wrench",75
756,"Weed Wrench",50
757,"Pulaski Axe",50
758,"Hedge Trimmer",75
760,"Garden Knife",20
761,"Tree Pruner",70
762,"Blackberry Hoe",25
763,"Clamp-On Vise",20
764,"Staple Gun",15
765,"Key Hole Saw",15
766,"Combination Wrench, 15mm",15
767,"Slip Joint Pliers",12
768,"Carpet Cleaner",75
769,"Vacuum Hose",20
772,"Safety Glasses",10
773,"Ear Muffs",15
774,"Ear Muffs",15
775,Ruler,5
776,Rachet,15
778,"Wire Brush",15
781,"Multi-tool Paintscraper",20
784,"Allen set",15
793,"Hex nut driver",15
794,"Screwdriver Set",15
795,"hedge trimmer",50
803,"Bit set",15
808,"Socket driver",20
818,"Socket driver",12
824,"Extension cord",10
830,"Forstner Drill Bit",15
840,Bucket,10
841,"Paint Mixer",25
850,Microscope,50
860,Box,20
870,"Socket Wrench",15
873,"refuse bin set",25
874,"Hand Saw",15
882,Clamp,20
892,"Automotive Test Kit",50
902,Hammer,15
912,Multimeter,40
922,Wirestripper,15
932,"Allen Wrench Set",15
942,"Allen Wrench",15
952,"Allen Wrench",15
962,"Allen Wrench",15
972,"Allen wrench",15
982,"Wrench 17MM",50
992,"Wrench 19MM",15
998,"Belt sander",75
1004,"Wrench 14MM",10
1014,"Wrench 13MM",15
1024,"Wrench 12MM",15
1034,"Wrench 10MM",15
1044,"Wrench 8MM",15
1054,"tap handle",15
1056,"T Wrench",20
1066,"T Wrench",15
1076,"T Wrench",15
1086,"T Wrench",15
1096,"Deep Socket Set",50
1106,"Drill bits",15
1116,"phillips screwdriver",5
1125,Bit,15
1126,"Shop Vac, Wet Only, 16 Gal",75
1183,battery,25
1245,"Sharpening Stone",15
1265,light,20
1311,"drill bits set",15
1312,"Socket Wrench Set, SAE",20
1377,workbench,40
1378,Jigsaw,25
1379,"roller stand",40
1380,"Sewing Machine",80
1384,"Box Cutter",15
1387,"Ruler Right Angle",10
1388,"Shop Vac (14Gal), Wet/Dry, Bucket",75
1390,"Hand Grinder",15
1391,"Belt sander",40
1392,"Angle Finder",20
1393,"Pocket Wrench",15
1394,"Breaker Bar",15
1395,"Basin Wrench",20
1396,"Torx Screwdriver, T10",15
1397,"Torx Screwdriver, T15",10
1398,"Wrench, 1/2"", 7/16",10
1400,"Tool Set",25
1401,Pliers,15
1402,"Scraper, 2""",15
1404,"Angle Finder",15
1405,"Grout Float",15
1406,Protractor,15
1407,"spackle knife",10
1408,"paper shredder",20
1409,Fan,15
1411,"Three Hole Punch",15
1412,"Socket and Wrench Set",25
1413,File,15
1428,"Weird screwdriver",15
1493,"Edge Clamp",15
1512,Square,15
1513,"Raspberry pi",20
1514,"usb cable",10
1515,"Power Drill",25
1516,Square,15
1517,"bit extender",15
1518,Pump,50
1519,"work table",50
1520,"Fertilizer Spreader",25
1521,"Electric lawn mower",100
1522,"Multi-tool Allen wrench",15
1523,"socket ratchet",20
1574,"Tin Snips",15
1659,"Pry Bar",15
1768,"Auger Bit Set",15
1846,"Power Planer",80
1885,"Fertilizer Spreader",50
1934,Pliers,10
1935,"Slip Joint Pliers",15
2259,"Slip Joint Pliers",10
2267,Pliers,15
2272,"Wire Stripper",15
2315,"Key Hole Saw",12
2473,"Slip Joint Pliers",20
2490,"Socket Wrench Set, SAE",20
2629,"Sewing Machine",75
2756,Pliers,15
2809,"Weed Whacker BATT_C 18V",50
2891,"Air Hose",10
3090,"Weed Whacker",50
3203,"Socket Set, Metric",20
3205,"Socket Set, SAE",25
3254,"Flat Screwdriver",10
3346,"Needle Nose Pliers",15
3382,"Pressure Washer",75
3599,"Socket Set",20
3718,"Tin Snips",15
3719,Pliers,10
3720,Pliers,15
3721,"Tile Saw",50
3722,"Drill Press",150
3723,"Hand Saw, Large",20
3724,"Taping Knife",15
3725,"Socket Wrench Set, Metric",20
3726,"Feeler Gauge",15
3728,Iron,15
3729,Iron,15
3733,"Circular Saw",40
3736,Jigsaw,25
3739,"Power Sander",50
3740,"Power Sander",50
3743,"Circular Saw",40
3744,"Circular Saw",40
3749,"Corded Drill",20
3750,"Corded Drill",25
3751,"Corded Drill",20
3752,"Cordless Drill, 3/8in",50
3755,"Tile Cutter",25
3756,Buffer,25
3757,"Drill Guide",20
3758,"Drill Guide",20
3759,"Profile Sander",75
3761,"Pipe Wrench",20
3762,"Pipe Wrench",20
3764,"Flat Screwdriver",5
3765,"Basin Wrench",20
3767,"Adjusable Wrench",15
3768,"Phillips Screwdriver",10
3773,"Flat Screwdriver",10
3775,"Flat Screwdriver",10
3776,"Flat Screwdriver",10
3778,"Flat Screwdriver",10
3780,"Phillips Screwdriver",8
3781,"Flat Screwdriver",15
3784,"Flat Screwdriver",10
3786,"Flat Screwdriver",15
3787,"Pipe Wrench",20
3788,"Flat Screwdriver",10
3789,"Phillips Screwdriver, Small",5
3790,"Reciprocating Saw",45
3791,"Flat Screwdriver",10
3792,"Taps And Pipe",25
3795,"Needle Nose Pliers",10
3796,"Phillips Screwdriver",10
3799,"Flat Screwdriver",10
3801,"Phillips Screwdriver, Small",10
3802,"Flat Screwdriver",10
3803,"Dovetail Jig",50
3804,"Phillips Screwdriver",5
3805,"Band Saw",75
3806,"Slip Joint Pliers",15
3808,"Phillips Screwdriver",10
3809,"Phillips Screwdriver",5
3810,"Tube Bender 3/16 - 3/8",50
3811,"Phillips Screwdriver",5
3813,"Rubber Mallet",15
3814,"Saw Blade Tuner (""Saw Set"")",20
3815,"Cement Chisel",15
3816,"Notched Trowel",15
3817,"Screwdriver Set",15
3820,"Battery Charger",25
3822,Gouge,15
3823,"Corded Drill",20
3824,Fan,15
3825,"Crow Bar, Chisel End",15
3827,"Brick Trowel",20
3830,Buffer,40
3831,"Grout Float",15
3832,Chisel,15
3833,Chisel,15
3834,"Inductive Timing Light",50
3835,Chisel,15
3838,C-clamp,15
3839,"Air Pump, Pocket",15
3840,Chisel,15
3841,"Chain Wrench",20
3843,C-clamp,10
3844,File,15
3845,"Brake Shoe Spring Tool",15
3846,"Crow Bar, Pointed End",15
3848,"Pipe Wrench",15
3849,"Notched Trowel, Small",15
3850,"Corner Clamp",15
3852,"Corner Clamp",15
3855,Chisel,15
3856,"Glass Cutter",15
3858,Shears,15
3859,"Snap Ring Pliers",20
3860,"Corner Clamp",20
3861,"Corner Clamp",15
3862,"Tire Iron",15
