Type,Parent Type,Full Hierarchy
root,,
Tools,root,Tools
Hand Tools,Tools,Tools > Hand Tools
Shovels & Digging,Hand Tools,Tools > Hand Tools > Shovels & Digging
Spade Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Spade Shovel
Square Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Square Shovel
Round Point Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Round Point Shovel
Planters Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Planters Shovel
Digging Fork,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Digging Fork
Drain Spade Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Drain Spade Shovel
Roofing Shovel,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Roofing Shovel
Snow Shovels,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Snow Shovels
Sod Lifter,Shovels & Digging,Tools > Hand Tools > Shovels & Digging > Sod Lifter
Rakes,Hand Tools,Tools > Hand Tools > Rakes
Metal Garden Rake,Rakes,Tools > Hand Tools > Rakes > Metal Garden Rake
Wooden Leaf Rake,Rakes,Tools > Hand Tools > Rakes > Wooden Leaf Rake
Expansion Rake,Rakes,Tools > Hand Tools > Rakes > Expansion Rake
Hand Rake,Rakes,Tools > Hand Tools > Rakes > Hand Rake
Concrete Rake,Rakes,Tools > Hand Tools > Rakes > Concrete Rake
Thatching Rake,Rakes,Tools > Hand Tools > Rakes > Thatching Rake
Steel Rake,Rakes,Tools > Hand Tools > Rakes > Steel Rake
Leaf Rake,Rakes,Tools > Hand Tools > Rakes > Leaf Rake
Weeding Rake,Rakes,Tools > Hand Tools > Rakes > Weeding Rake
Row Marking Rake,Rakes,Tools > Hand Tools > Rakes > Row Marking Rake
Pruners,Hand Tools,Tools > Hand Tools > Pruners
Loppers,Pruners,Tools > Hand Tools > Pruners > Loppers
Hand Pruner,Pruners,Tools > Hand Tools > Pruners > Hand Pruner
Telescopic Pruner,Pruners,Tools > Hand Tools > Pruners > Telescopic Pruner
Fruit Pickers,Pruners,Tools > Hand Tools > Pruners > Fruit Pickers
Axes,Hand Tools,Tools > Hand Tools > Axes
Hatchet,Axes,Tools > Hand Tools > Axes > Hatchet
Wedge,Axes,Tools > Hand Tools > Axes > Wedge
Grinding Stones,Axes,Tools > Hand Tools > Axes > Grinding Stones
