Transaction ID,Member ID,Date,Payment method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Item Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
401450,446,1/1/2017 2:01 PM,,,,,0.70,,,Late Fee,0.7,0.70,5210.0,"Clamp, Bar",,,,,Bil,,
401450,446,1/1/2017 2:01 PM,,,,,0.70,,,Check Out (Renewal),,,5210.0,"Clamp, Bar",,,,,Bil,,Renewal
401450,446,1/1/2017 2:01 PM,Discount,,0.70,,0.70,,,,,,,,,,,,,happy new year!,
401453,459,1/1/2017 4:19 PM,,,,,,,,Membership Change,,,,,regular,,,,Gin,,
401454,459,1/1/2017 4:21 PM,,,,,,,,Membership Change,,,,,regular,,,,tus,,
401455,459,1/1/2017 4:23 PM,,,,,,,,Check Out,,,4546.0,Level,,,,,tus,,
401455,459,1/1/2017 4:23 PM,,,,,,,,Check Out,,,5043.0,Stud Finder,,,,,tus,,
401456,458,1/1/2017 4:23 PM,,,,,,,,Loan Return,,,381.0,"Wrench, Adjustable",,,,,tus,,
401460,432,1/1/2017 5:13 PM,,,,,,,,Check Out,,,35.0,Power Sander,,,,,tus,,
401461,314,1/1/2017 5:15 PM,,,,,1.20,1.20,1.20,Late Fee,0.4,0.40,4322.0,Belt Sander,,,,,tus,,
401461,314,1/1/2017 5:15 PM,,,,,1.20,1.20,1.20,Late Fee,0.4,0.40,5034.0,Power Sander,,,,,tus,,
401461,314,1/1/2017 5:15 PM,,,,,1.20,1.20,1.20,Late Fee,0.4,0.40,362.0,"Saw, Key Hole",,,,,tus,,
401461,314,1/1/2017 5:15 PM,Cash,10.00,,,1.20,1.20,1.20,,,,,,,,,,,,
401461,314,1/1/2017 5:15 PM,Cash,(8.80),,,1.20,1.20,1.20,,,,,,,,,,,,
401464,460,1/1/2017 7:06 PM,,,,,5.00,5.00,5.00,Membership Fee,,5.00,,,regular,,,,tus,,
401464,460,1/1/2017 7:06 PM,Cash,5.00,,,5.00,5.00,5.00,,,,,,,,,,,,
401465,460,1/1/2017 7:10 PM,,,,,,,,Check Out,,,4751.0,"Saw, Miter",,,,,tus,,
401849,344,1/3/2017 11:14 AM,,,,,1.20,1.20,,Late Fee,1.2,1.20,361.0,Bucket,,,,,Bil,,
401849,344,1/3/2017 11:14 AM,,,,,1.20,1.20,,Check Out (Renewal),,,361.0,Bucket,,,,,Bil,,Renewal
401849,344,1/3/2017 11:14 AM,On Account,,,1.20,1.20,1.20,,,,,,,,,,,,,
401851,461,1/3/2017 11:18 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,zeb,,
402053,462,1/3/2017 8:30 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,irw,,
402277,463,1/4/2017 1:35 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,Aus,,
402298,464,1/4/2017 2:30 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,che,,
