Transaction ID,Member ID,Date,Payment Method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
1608233,2682,1/3/2020 9:02 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,mcl,,
1608235,2597,1/3/2020 10:11 PM,,,,,,,,Loan Return,,,6169.0,"Wrench, Basin",,,,,jde,,
1608235,2597,1/3/2020 10:11 PM,,,,,,,,Check Out (Renewal),,,6169.0,"Wrench, Basin",,,,,jde,self-renewal,Renewal
1608236,2597,1/3/2020 10:11 PM,,,,,,,,Loan Return,,,7038.0,Heat Gun,,,,,jde,,
1608236,2597,1/3/2020 10:11 PM,,,,,,,,Check Out (Renewal),,,7038.0,Heat Gun,,,,,jde,self-renewal,Renewal
1608237,2597,1/3/2020 10:12 PM,,,,,,,,Loan Return,,,7402.0,Hole Saw Kit,,,,,jde,,
1608237,2597,1/3/2020 10:12 PM,,,,,,,,Check Out (Renewal),,,7402.0,Hole Saw Kit,,,,,jde,self-renewal,Renewal
1608238,2597,1/3/2020 10:12 PM,,,,,,,,Loan Return,,,4556.0,"Drill, Corded",,,,,jde,,
1608238,2597,1/3/2020 10:12 PM,,,,,,,,Check Out (Renewal),,,4556.0,"Drill, Corded",,,,,jde,self-renewal,Renewal
1608245,2683,1/3/2020 11:57 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,pri,,
1608609,894,1/4/2020 9:19 AM,,,,,,,,Loan Return,,,5027.0,Ladder,,,,,Cap,,
1608609,894,1/4/2020 9:19 AM,,,,,,,,Check Out (Renewal),,,5027.0,Ladder,,,,,Cap,self-renewal,Renewal
1608611,894,1/4/2020 9:19 AM,,,,,,,,Loan Return,,,4306.0,"Saw, Hack",,,,,Cap,,
1608611,894,1/4/2020 9:19 AM,,,,,,,,Check Out (Renewal),,,4306.0,"Saw, Hack",,,,,Cap,self-renewal,Renewal
1608642,2439,1/4/2020 9:30 AM,,,,,,,,Check Out,,,5481.0,File,,,,,Gin,,
1608653,892,1/4/2020 9:34 AM,,,,,0.2,(0.40),,Late Fee,0.1,0.1,215.0,"Shop Vac, Wet Only, 8 Gal",,,,,Gin,,
1608653,892,1/4/2020 9:34 AM,,,,,0.2,(0.40),,Late Fee,0.1,0.1,7318.0,"Shop Vac, Wet/Dry, 12 Gal",,,,,Gin,,
1608653,892,1/4/2020 9:34 AM,On Account,,,(0.40),0.2,(0.40),,,,,,,,,,,,,
1608653,892,1/4/2020 9:34 AM,Discount,,0.60,,0.2,(0.40),,,,,,,,,,,,,
1608709,2180,1/4/2020 9:56 AM,,,,,2.8,2.80,2.80,Late Fee,1.4,1.4,7479.0,Stud Finder,,,,,Gin,,
1608709,2180,1/4/2020 9:56 AM,,,,,2.8,2.80,2.80,Late Fee,1.4,1.4,103.0,Stud Finder,,,,,Gin,,
1608709,2180,1/4/2020 9:56 AM,Cash,2.80,,,2.8,2.80,2.80,,,,,,,,,,,,
1608732,2684,1/4/2020 10:04 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,kay,,
1608741,2684,1/4/2020 10:07 AM,,,,,,,,Membership Change,,,,,regular,,,,Gin,,
1608748,2684,1/4/2020 10:12 AM,,,,,,,,Check Out,,,7450.0,"Wrench, Adjustable",,,,,Gin,,
1608805,2685,1/4/2020 10:28 AM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,Gin,,
1608805,2685,1/4/2020 10:28 AM,Cash,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1608837,2491,1/4/2020 10:41 AM,,,,,,,,Check Out,,,4797.0,Pickaxe,,,,,Gin,,
1608837,2491,1/4/2020 10:41 AM,,,,,,,,Check Out,,,4758.0,Pick,,,,,Gin,,
1608837,2491,1/4/2020 10:41 AM,,,,,,,,Check Out,,,6618.0,Axe,,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,,,,,31.5,20.00,20.00,Late Fee,6.3,6.3,6859.0,Angle Grinder,,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,,,,,31.5,20.00,20.00,Late Fee,6.3,6.3,4813.0,Goggles,,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,,,,,31.5,20.00,20.00,Late Fee,6.3,6.3,6746.0,Goggles,,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,,,,,31.5,20.00,20.00,Late Fee,6.3,6.3,5632.0,Extension Cord,,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,,,,,31.5,20.00,20.00,Late Fee,6.3,6.3,6895.0,"Extension Cord, Non-Grounded",,,,,Gin,,
1608859,2563,1/4/2020 10:51 AM,Cash,20.00,,,31.5,20.00,20.00,,,,,,,,,,,,
1608859,2563,1/4/2020 10:51 AM,Discount,,11.50,,31.5,20.00,20.00,,,,,,,,,,,,
1608862,2667,1/4/2020 10:51 AM,,,,,0.5,,,Late Fee,0.5,0.5,4034.0,Steam Cleaner,,,,,Gin,,
1608862,2667,1/4/2020 10:51 AM,Discount,,0.50,,0.5,,,,,,,,,,,,,,
1608869,2683,1/4/2020 10:57 AM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,Gin,,
1608869,2683,1/4/2020 10:57 AM,Cash,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Loan Return,,,5068.0,"Drill Press, Manual",,,,,Gin,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Loan Return,,,4770.0,Hand Truck,,,,,Gin,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Loan Return,,,6951.0,Router,,,,,Gin,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Loan Return,,,7605.0,Tarp,,,,,Gin,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Check Out,,,7443.0,Random Orbit Sander,,,,,Gin,,
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Check Out (Renewal),,,5068.0,"Drill Press, Manual",,,,,Gin,,Renewal
1608925,2284,1/4/2020 11:12 AM,,,,,,,,Check Out (Renewal),,,7605.0,Tarp,,,,,Gin,,Renewal
1608925,2284,1/4/2020 11:12 AM,On Account,,,,,,,,,,,,,,,,,,
1608942,2669,1/4/2020 11:17 AM,,,,,,,,Loan Return,,,5541.0,Ladder,,,,,Gin,,
1608942,2669,1/4/2020 11:17 AM,,,,,,,,Loan Return,,,571.0,Drop Cloth,,,,,Gin,,
1608944,2666,1/4/2020 11:18 AM,,,,,,,,Loan Return,,,300.0,Bottom Bracket,,,,,Gin,,
1608962,2683,1/4/2020 11:23 AM,,,,,,,,Check Out,,,7490.0,Drill Bit Kit,,,,,Gin,,
1608962,2683,1/4/2020 11:23 AM,,,,,,,,Check Out,,,4520.0,Battery Charger,,,,,Gin,,
1608962,2683,1/4/2020 11:23 AM,,,,,,,,Check Out,,,259.0,"Drill, Cordless",,,,,Gin,,
1609025,2686,1/4/2020 11:41 AM,,,,,50.0,50.00,50.00,Membership Fee,,50.0,,,regular,,,,Gin,,
1609025,2686,1/4/2020 11:41 AM,External Credit/Debit,50.00,,,50.0,50.00,50.00,,,,,,,,,,,,
1609029,2687,1/4/2020 11:41 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,Roc,,
1609039,2687,1/4/2020 11:45 AM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,Gin,,
1609039,2687,1/4/2020 11:45 AM,Cash,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1609042,2687,1/4/2020 11:45 AM,,,,,,,,Check Out,,,7589.0,Roto Zip,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,5547.0,Leaf Rake,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,5026.0,Ladder,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,7315.0,Work Gloves,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,5300.0,Goggles,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,7283.0,Sheers,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,636.0,Safety Glasses,,,,,Gin,,
1609085,2668,1/4/2020 11:56 AM,,,,,,,,Loan Return,,,601.0,"Work Gloves, Rubber Coated",,,,,Gin,,
1609093,2658,1/4/2020 11:58 AM,,,,,,,,Membership Change,,,,,regular,,,,Gin,,
1609095,2658,1/4/2020 11:59 AM,,,,,,,,Check Out,,,5702.0,Spade,,,,,Gin,,
1609095,2658,1/4/2020 11:59 AM,,,,,,,,Check Out,,,570.0,Shovel,,,,,Gin,,
1609122,1560,1/4/2020 12:04 PM,,,,,,,,Membership Change,,,,,regular,,,,Gin,,
1609122,1560,1/4/2020 12:04 PM,,,,,,,,Check Out,,,680.0,"Saw, Back",,,,,Gin,,
1609269,2616,1/4/2020 1:02 PM,,,,,,,,Loan Return,,,5145.0,Plane,,,,,pat,,
1609269,2616,1/4/2020 1:02 PM,,,,,,,,Check Out (Renewal),,,5145.0,Plane,,,,,pat,self-renewal,Renewal
1609271,2616,1/4/2020 1:02 PM,,,,,,,,Loan Return,,,5839.0,"Level, Corner",,,,,pat,,
1609271,2616,1/4/2020 1:02 PM,,,,,,,,Check Out (Renewal),,,5839.0,"Level, Corner",,,,,pat,self-renewal,Renewal
1609272,2616,1/4/2020 1:02 PM,,,,,,,,Loan Return,,,4839.0,"Brush, Wire",,,,,pat,,
1609272,2616,1/4/2020 1:02 PM,,,,,,,,Check Out (Renewal),,,4839.0,"Brush, Wire",,,,,pat,self-renewal,Renewal
1609273,2616,1/4/2020 1:03 PM,,,,,,,,Loan Return,,,4723.0,Ruler,,,,,pat,,
1609273,2616,1/4/2020 1:03 PM,,,,,,,,Check Out (Renewal),,,4723.0,Ruler,,,,,pat,self-renewal,Renewal
1609275,2616,1/4/2020 1:03 PM,,,,,,,,Loan Return,,,426.0,"Plane, Hand",,,,,pat,,
1609275,2616,1/4/2020 1:03 PM,,,,,,,,Check Out (Renewal),,,426.0,"Plane, Hand",,,,,pat,self-renewal,Renewal
1609276,2616,1/4/2020 1:03 PM,,,,,,,,Loan Return,,,4496.0,"Plane, Hand",,,,,pat,,
1609276,2616,1/4/2020 1:03 PM,,,,,,,,Check Out (Renewal),,,4496.0,"Plane, Hand",,,,,pat,self-renewal,Renewal
1609277,2616,1/4/2020 1:03 PM,,,,,,,,Loan Return,,,4852.0,"Clamp, Bar",,,,,pat,,
1609277,2616,1/4/2020 1:03 PM,,,,,,,,Check Out (Renewal),,,4852.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609278,2616,1/4/2020 1:03 PM,,,,,,,,Loan Return,,,5210.0,"Clamp, Bar",,,,,pat,,
1609278,2616,1/4/2020 1:03 PM,,,,,,,,Check Out (Renewal),,,5210.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609279,2616,1/4/2020 1:04 PM,,,,,,,,Loan Return,,,6174.0,"Clamp, Bar",,,,,pat,,
1609279,2616,1/4/2020 1:04 PM,,,,,,,,Check Out (Renewal),,,6174.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609280,2616,1/4/2020 1:04 PM,,,,,,,,Loan Return,,,7613.0,"Clamp, Bar",,,,,pat,,
1609280,2616,1/4/2020 1:04 PM,,,,,,,,Check Out (Renewal),,,7613.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609284,2616,1/4/2020 1:04 PM,,,,,,,,Loan Return,,,6175.0,"Clamp, Bar",,,,,pat,,
1609284,2616,1/4/2020 1:04 PM,,,,,,,,Check Out (Renewal),,,6175.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609285,2616,1/4/2020 1:05 PM,,,,,,,,Loan Return,,,6798.0,"Clamp, Bar",,,,,pat,,
1609285,2616,1/4/2020 1:05 PM,,,,,,,,Check Out (Renewal),,,6798.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609287,2616,1/4/2020 1:05 PM,,,,,,,,Loan Return,,,7516.0,"Clamp, Bar",,,,,pat,,
1609287,2616,1/4/2020 1:05 PM,,,,,,,,Check Out (Renewal),,,7516.0,"Clamp, Bar",,,,,pat,self-renewal,Renewal
1609531,1020,1/4/2020 3:37 PM,,,,,,,,Loan Return,,,6490.0,"Hand Truck, Convertible",,,,,Gin,,
1609531,1020,1/4/2020 3:37 PM,,,,,,,,Loan Return,,,6841.0,Push Broom,,,,,Gin,,
1609531,1020,1/4/2020 3:37 PM,,,,,,,,Check Out (Renewal),,,6841.0,Push Broom,,,,,Gin,,Renewal
1609531,1020,1/4/2020 3:37 PM,,,,,,,,Check Out (Renewal),,,6490.0,"Hand Truck, Convertible",,,,,Gin,,Renewal
1609571,313,1/4/2020 5:16 PM,,,,,,,,Loan Return,,,4632.0,Caulk Gun,,,,,lis,,
1609571,313,1/4/2020 5:16 PM,,,,,,,,Check Out (Renewal),,,4632.0,Caulk Gun,,,,,lis,self-renewal,Renewal
1609572,313,1/4/2020 5:16 PM,,,,,,,,Loan Return,,,5833.0,Pincer,,,,,lis,,
1609572,313,1/4/2020 5:16 PM,,,,,,,,Check Out (Renewal),,,5833.0,Pincer,,,,,lis,self-renewal,Renewal
1609573,313,1/4/2020 5:17 PM,,,,,,,,Loan Return,,,5414.0,Tile Cutter,,,,,lis,,
1609573,313,1/4/2020 5:17 PM,,,,,,,,Check Out (Renewal),,,5414.0,Tile Cutter,,,,,lis,self-renewal,Renewal
1609639,1478,1/4/2020 10:13 PM,,,,,,,,Loan Return,,,4811.0,Level,,,,,gha,,
1609639,1478,1/4/2020 10:13 PM,,,,,,,,Check Out (Renewal),,,4811.0,Level,,,,,gha,self-renewal,Renewal
1609640,1478,1/4/2020 10:13 PM,,,,,,,,Loan Return,,,6982.0,C-clamp,,,,,gha,,
1609640,1478,1/4/2020 10:13 PM,,,,,,,,Check Out (Renewal),,,6982.0,C-clamp,,,,,gha,self-renewal,Renewal
1609641,1478,1/4/2020 10:14 PM,,,,,,,,Loan Return,,,7529.0,C-clamp,,,,,gha,,
1609641,1478,1/4/2020 10:14 PM,,,,,,,,Check Out (Renewal),,,7529.0,C-clamp,,,,,gha,self-renewal,Renewal
1609642,1478,1/4/2020 10:14 PM,,,,,,,,Loan Return,,,6058.0,Circular Saw,,,,,gha,,
1609642,1478,1/4/2020 10:14 PM,,,,,,,,Check Out (Renewal),,,6058.0,Circular Saw,,,,,gha,self-renewal,Renewal
1609643,1478,1/4/2020 10:14 PM,,,,,,,,Loan Return,,,5040.0,C-clamp,,,,,gha,,
1609643,1478,1/4/2020 10:14 PM,,,,,,,,Check Out (Renewal),,,5040.0,C-clamp,,,,,gha,self-renewal,Renewal
1609644,1478,1/4/2020 10:14 PM,,,,,,,,Loan Return,,,5614.0,Jigsaw,,,,,gha,,
1609644,1478,1/4/2020 10:14 PM,,,,,,,,Check Out (Renewal),,,5614.0,Jigsaw,,,,,gha,self-renewal,Renewal
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,6480.0,Drill Bit Set,,,,,Gin,,
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,7310.0,"Drill, Corded",,,,,Gin,,
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,5074.0,Power Sander With Vacuum Bag,,,,,Gin,,
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Check Out (Renewal),,,5074.0,Power Sander With Vacuum Bag,,,,,Gin,,Renewal
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Check Out (Renewal),,,7310.0,"Drill, Corded",,,,,Gin,,Renewal
1610070,2424,1/5/2020 11:06 AM,,,,,2.4,2.40,,Check Out (Renewal),,,6480.0,Drill Bit Set,,,,,Gin,,Renewal
1610070,2424,1/5/2020 11:06 AM,On Account,,,2.40,2.4,2.40,,,,,,,,,,,,,
1610156,1878,1/5/2020 12:26 PM,,,,,,,,Membership Change,,,,,regular,,,,Qui,,
1610156,1878,1/5/2020 12:26 PM,,,,,,,,Check Out,,,145.0,"Sanding Block, Hand",,,,,Qui,,
1610156,1878,1/5/2020 12:26 PM,,,,,,,,Check Out,,,333.0,Paint Brush,,,,,Qui,,
1610156,1878,1/5/2020 12:26 PM,,,,,,,,Check Out,,,6349.0,Paintbrush,,,,,Qui,,
1610438,2640,1/5/2020 4:02 PM,,,,,0.7,,,Late Fee,0.7,0.7,5110.0,Auger,,,,,tus,,
1610438,2640,1/5/2020 4:02 PM,Discount,,0.70,,0.7,,,,,,,,,,,,,,
1610443,1886,1/5/2020 4:06 PM,,,,,0.5,0.50,9.50,Late Fee,0.1,0.1,6038.0,"Saw, Hack",,,,,tus,,
