Member ID,Confirmed?,Sex,Age,Member Created (M/D/YYYY),Start of first full membership (M/D/YYYY),Current Membership Type,"Latest Membership Change (request, upgrade, renewal, cancellation...) (M/D/YYYY)",Current Membership Expiration (M/D/YYYY),Renews Automatically,Automatically Pay Statements,Opening Balance,Opening Balance Date (M/D/YYYY),Household Type,"Single, non-elderly",Elderly,Single Parent,Two Parents,Female Head of Household,Household income range,Household income range Value,Ethnicity,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other,Number of disabled people in household,Renter/Homeowner,Renter/Homeowner Value,Household Size
34,True,,,7/13/2015,,Request_CheckIDAddressPhoneDOB,7/12/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,
51,True,,,7/22/2015,7/21/2015,regular,8/19/2023,7/21/2024,False,False,,,[],,,,,,,,[],,,,,,,,,,,
62,False,,,10/19/2015,,Request_CheckIDAddressPhoneDOB,10/19/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,
82,False,,,1/1/2016,5/27/2018,regular,2/13/2019,2/13/2020,False,False,,,[],,,,,,,,[],,,,,,,,,,,
347,False,,,10/13/2016,10/12/2016,regular,10/12/2016,10/12/2017,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3415,True,,,11/10/2021,11/10/2021,regular,6/18/2024,6/18/2025,False,False,,,,,,,,,,,,,,,,,,,,,,
4183,False,,,12/1/2022,11/30/2022,regular,11/30/2022,12/1/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4282,False,,,1/19/2023,1/18/2023,regular,1/18/2023,1/18/2024,False,False,,,,,,,,,,,,,,,,,,,,,,
5555,True,,,3/16/2024,3/17/2024,regular,3/17/2024,3/17/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
5774,False,,,5/11/2024,5/11/2024,regular,5/11/2024,5/11/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
5945,True,,,6/20/2024,,Request_CheckIDAddressPhoneDOB,6/20/2024,,False,False,,,,,,,,,,,,,,,,,,,,,,
711,False,,,6/1/2017,5/31/2017,ExtremelyOverdueItems,5/5/2019,,False,False,,,[],,,,,,,,[],,,,,,,,,,,
410,True,,,11/22/2016,,Request_CheckIDAddressPhoneDOB,11/21/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,
2262,False,female,,6/26/2019,6/25/2019,regular,6/25/2019,6/25/2020,False,False,,,,,,,,,,,,,,,,,,,,,,
3653,True,,,4/15/2022,6/26/2022,regular,6/26/2022,6/26/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4196,True,,,,,Request_CheckIDAddressPhoneDOB,12/9/2022,,False,False,,,[],,,,,,3.0,Moderate,"['3', '4', '5']",,,Y,Y,Y,,,0,0.0,Renter,2.0
339,True,male,36.0,9/30/2016,2/28/2018,regular,2/28/2018,2/28/2019,False,False,,,,,,,,,,,,,,,,,,,,,,
2754,False,,,2/9/2020,,Request_CheckIDAddressPhoneDOB,2/9/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,
3361,False,,,10/8/2021,,Request_CheckIDAddressPhoneDOB,10/7/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,
1825,True,female,,11/19/2018,11/18/2018,regular,11/18/2018,11/18/2019,False,False,,,,,,,,,,,,,,,,,,,,,,
2027,False,male,,3/27/2019,,Request_CheckIDAddressPhoneDOB,3/26/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,
1010,True,female,,10/9/2017,,Request_CheckIDAddressPhoneDOB,10/8/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,
2519,False,,,10/6/2019,,Request_CheckIDAddressPhoneDOB,10/6/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,
773,False,male,,7/6/2017,,Request_CheckIDAddressPhoneDOB,7/5/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,
3666,False,,,4/24/2022,,Request_CheckIDAddressPhoneDOB,4/24/2022,,False,False,,,[],,,,,,,,[],,,,,,,,,,,
5372,False,,,1/23/2024,1/22/2024,regular,1/22/2024,1/23/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3664,True,,32.0,4/21/2022,,Request_CheckIDAddressPhoneDOB,4/21/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,
4716,True,male,43.0,6/17/2023,,Request_CheckIDAddressPhoneDOB,6/17/2023,,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4721,False,,,6/17/2023,,Request_CheckIDAddressPhoneDOB,6/17/2023,,False,False,,,,,,,,,,,,,,,,,,,,,,
5665,True,female,47.0,4/10/2024,4/10/2024,regular,4/10/2024,4/10/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
264,False,would rather not say,,8/7/2016,8/7/2016,regular,8/7/2016,8/7/2017,False,False,,,['4'],,,,Y,,4.0,High,['5'],,,,,Y,,,0,1.0,Homeowner,3.0
1628,True,female,,8/10/2018,8/12/2018,regular,8/12/2018,8/12/2019,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3912,True,,92.0,8/3/2022,,Request_CheckIDAddressPhoneDOB,8/3/2022,,False,False,,,['1'],Y,,,,,2.0,Low,['7'],,,,,,,Y,,0.0,Renter,1.0
553,False,female,,3/18/2017,3/18/2017,regular,12/10/2020,11/23/2021,False,False,,,['4'],,,,Y,,3.0,Moderate,['5'],,,,,Y,,,,0.0,Renter,3.0
2860,True,,,6/8/2020,,Request_CheckIDAddressPhoneDOB,6/7/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,
5514,True,,33.0,3/3/2024,3/7/2024,regular,3/7/2024,3/7/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
2547,False,male,,10/17/2019,,Request_CheckIDAddressPhoneDOB,10/16/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,
4909,True,,,8/14/2023,8/16/2023,regular,8/16/2023,8/16/2024,False,False,,,,,,,,,,,,,,,,,,,,,,
5930,False,,,6/17/2024,,Request_CheckIDAddressPhoneDOB,6/17/2024,,False,False,,,,,,,,,,,,,,,,,,,,,,
5429,False,,,2/8/2024,2/8/2024,regular,2/8/2024,2/8/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4764,False,,,6/29/2023,6/29/2023,regular,6/29/2023,6/29/2024,False,False,,,,,,,,,,,,,,,,,,,,,,
5013,True,,,9/16/2023,9/16/2023,regular,9/16/2023,9/16/2024,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4895,True,male,,8/9/2023,,Request_CheckIDAddressPhoneDOB,8/9/2023,,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3210,True,,,7/4/2021,7/6/2021,regular,10/23/2022,10/23/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
3763,True,,,6/10/2022,6/12/2022,regular,6/12/2022,6/12/2023,False,False,,,"['1', '5']",Y,,,,Y,2.0,Low,['5'],,,,,Y,,,1,0.0,Renter,1.0
1588,True,,,7/23/2018,7/22/2018,regular,8/22/2020,8/22/2021,False,False,,,[],,,,,,,,[],,,,,,,,,,,
630,False,,,4/29/2017,4/29/2017,regular,4/29/2017,4/29/2018,False,False,,,,,,,,,,,,,,,,,,,,,,
2638,True,,,12/1/2019,12/1/2019,regular,7/17/2021,7/17/2022,False,False,,,[],,,,,,,,[],,,,,,,,,,,
2705,True,,,1/14/2020,1/19/2020,regular,8/6/2022,8/6/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
4264,True,,35.0,1/15/2023,1/15/2023,regular,3/16/2024,3/16/2025,False,False,,,[],,,,,,,,[],,,,,,,,,,,
2709,True,,,1/16/2020,,Request_CheckIDAddressPhoneDOB,1/16/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,
2127,True,,,5/7/2019,,Request_CheckIDAddressPhoneDOB,5/6/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,
1624,True,male,,8/9/2018,8/8/2018,regular,7/28/2019,8/8/2020,False,False,,,,,,,,,,,,,,,,,,,,,,
64,True,male,,10/23/2015,,Request_CheckIDAddressPhoneDOB,10/23/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,
536,True,male,,3/5/2017,3/5/2017,regular,3/5/2017,3/5/2018,False,False,,,['1'],Y,,,,,2.0,Low,['5'],,,,,Y,,,,0.0,Renter,2.0
1306,False,male,,4/1/2018,4/1/2018,regular,4/1/2018,4/2/2019,False,False,,,['1'],Y,,,,,4.0,High,['5'],,,,,Y,,,,0.0,Renter,2.0
1537,True,,,6/30/2018,7/1/2018,regular,9/17/2023,9/17/2024,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1981,True,male,52.0,3/12/2019,3/11/2019,regular,3/11/2019,3/11/2020,False,False,,,[],,,,,,,,[],,,,,,,,,,,
