,Item Type
1,Tools
2,Hand Tools
3,Shovels & Digging
4,Spade Shovel
5,Square Shovel
6,Round Point Shovel
7,Planters Shovel
11,Snow Shovel
13,Rakes
14,Metal Garden Rake
17,Hand Rake
19,Thatching Rake
21,Leaf Rake
25,Loppers
26,Hand Pruner
27,Telescopic Pruner
28,Fruit Pickers
29,Axes
30,Hatchet
31,Wedge
33,Hand Axe
34,Maul
35,Saws
37,Hand Miter Saws
38,Bow Saws
39,Hack Saws
40,Coping Saw
41,Back Saws
42,Crosscut Saws
43,Drywall Saws
44,Hole Saws
45,Hole Saw Kits
46,Key Hole Saws
48,Wrenches
49,Torque Wrench
50,Pipe Wrenches
51,Basin Wrench
52,Belt Strap Wrench
53,Chain Wrench
54,Adjustable Wrench
55,Lock Nut Wrench
56,Open End Wrench
58,Spanner Wrenches
59,Wrench Sets
60,Socket Sets
61,Allen Wrench Sets
62,Spark Plug Wrench Set
63,Box Wrench Sets
65,Ratcheting Wrench Sets
67,Open End Wrench Sets
68,Combination Wrench Sets
69,Measuring & Layout Tools
70,Levels
71,Tape Measures
72,Calipers
73,Chalklines
74,Squares
75,Yardsticks
76,Rulers
77,Stud finder
78,Plumb Bob
79,T-Bevels
80,Contour Gauges
82,Compasses (drawing)
84,Marking
85,Scrapers
88,Paint Scraper
89,Sidewalk Ice Scraper
90,Planes
91,Chisels & Gouges
92,Cement Chisel
93,Cold Chisel
94,Wood Chisel
95,Drills
96,"Bits, Drivers and Accessories"
97,Drill Bits
98,Screwdrivers
99,Flat Screwdrivers
100,Phillips Screwdrivers
101,Torx Screwdrivers
102,Screwdriver Sets
103,Robertson Screwdrivers
104,Clamps & Brackets
105,C-Clamps
106,Bar Clamps
107,Corner Clamp
108,Quick Grip Clamp
109,Wood Clamp
110,Drill Press Clamps
112,Hand Clamps
113,Vises
114,Pipe Clamps
115,Web Clamps
117,Saw Blades
118,Table Saw Blades
120,Dado Saw Blades
121,Hammers & Mallets
122,Rubber Mallets
123,Sledgehammers
124,Ball Peen Hammers
126,Claw Hammers
129,Framing Hammers
130,Tack Hammers
132,Ladders
133,Step Ladders
138,Multi Ladder
142,Knives
143,Linoleum Knives
144,Putty Knife
145,Utility Knives
147,"Pliers, Cutters, and Snips"
148,Slip Joint Pliers
149,Wire Cutters
150,Needle Nose Pliers
152,Lineman Plier
153,Locking Pliers
155,Bolt Cutters
156,Buckets
157,Extension Poles
158,Brushes and Rollers
159,Sharp Bristle Brushes
160,Counter Brush
163,Smoothing Brush
165,Paint Guide
166,Paint Roller Frame
167,Roller Tool
169,Sanders
171,Crimpers
173,Crowbars
175,Nail Puller
176,Pry Bar
179,Hand Tool Sets
180,Trimmers
181,Manual Hedge Trimmers
182,Misc Hand Tools
183,Edgers
185,Manual Lawn Edger
186,Manual Lawn Edger
191,Tool Stands & Work Tables
192,Saw Horses
193,Table Rollers
195,Tool Bench Work Mate
196,Vise Grips
197,Locks and Security
198,Tap and Die
200,Planters
201,Pitchfork
202,Hand Truck
203,Drill Press (hand)
204,Staple Guns
206,Manual Staple Guns
207,Tin Snips
208,Tube Cutters
209,Pipe Cutters
210,Lawn Mower
211,Shears
213,Metal Shears
214,Trowels & Floats
215,Notched Trowel
216,Trowel
217,Brick Trowel
218,Corner Trowel
221,Tuck Point Trowel
222,Float
223,Caulk Guns
224,Conduit Benders
225,Machete
227,Rivet Tools
228,Squeegees
229,Dollies
230,Hex Keys
231,Mixers & Dispensers
234,Watering Tools
235,Cultivators
236,Testers (hand held)
237,Augers & Drain Openers
238,Manual Drain Auger
239,Toilet Auger
241,Files
242,Punches
243,Awl
245,Rasps
246,Center Punches
248,Chain Hoist
250,Hand Sickle
251,Scythe
252,Machete
253,Sharpeners
254,Finishing Stones
255,Drywall Tools
256,Drywall Tool Sets
257,Joint Knives
258,Bucket Scoops
260,Taping Knives
262,Electrical Tools
263,Fish Tapes
264,Wire Strippers
265,Plumbing Tools
268,Nail Sets
269,Jigs
270,Pocket Hole Jigs
271,Dovetail Jigs
272,Gear Pullers
273,Hand Air Pumps
274,Plug Cutters
275,Paint Can Openers
276,Cleaning Brushes
277,Wire Brushes
280,Woodworking Kits
281,Pickaxes & Mattocks
282,Pickaxes
284,Pick Mattocks
286,Power Tools
287,Corded & Plug-in
288,Power Drills
289,Power Drill 1/2in
290,Power Drill 3/8in
291,Hammer Drills
292,Power Saws
295,Circular Saws
297,Scroller Power Saws
298,Corded Miter Saws
299,Compound Miter Saw
301,Jig Saws
303,Table Saws
304,Wet Tile Saws
305,Band Saws
307,Corded Trimmers
308,Electric Hedge Trimmers
309,Electric Lawn Edger
310,Electric String Trimmer
313,Extension Cords
314,Electric Chippers
315,Buffers
316,Testers
318,Circuit Testers
319,Voltage Tester
320,Sanders & Planers
321,Random Orbit Sander
322,Finishing Power Sanders
323,Belt Sanders
328,Power Planer
329,Power Sanders
331,Reciprocating Saw
333,Soldering & Heat Guns
334,Soldering Iron
335,Heat Gun
336,Hot Glue Gun
337,Paint Sprayer
338,Electric Dehydrators
339,Routers
340,Rotary Tools
341,Dremel Multi Pro
342,Roto Zip
343,Drill Press (power)
344,Pressure Washers
345,Pressure Washer Attachments
346,Electric Air Pumps
347,Chargers
348,12v Battery Chargers
349,Rechargeable Battery Charger
350,Electric Leaf Blower
352,Engraver
353,Electric Pumps
354,Submersible Pump
358,Electric Concrete Stirrers
359,Paint Mixers & Stirrers
360,Electric Augers & Drain Openers
361,Vacuum Cleaners
362,Wet-Dry Vac
363,Handheld Vacuums
364,Upright Vacuums
368,Router Accessories
370,Router Edge Guides
375,Router Bits
376,Straight Router Bits
378,Molding Router Bits
384,Corded Grinders
385,Electric Nailers
386,Steam Cleaners
387,Carpet Steam Cleaners
393,Cordless Power Tools
394,Cordless Drills
395,Flashlights
396,Cordless Trimmers
397,Cordless Saws
398,Cordless Circular Saw
399,Cordless Screwdrivers
401,Cordless Vacuums
402,Cordless Impact Drivers
403,Cordless Tool Batteries
404,12V Cordless Tool Batteries
405,18V Cordless Tool Batteries
406,20V Cordless Tool Batteries
407,Cordless Hammer Drills
409,Cordless Hedge Trimmers
413,Grinders
414,Bench Grinders
416,Angle Grinders
417,Lathes
418,Power Sharpeners
421,Biscuit Joiners
424,Power Tool Accessories
425,Air & Pneumatic Tools
426,Compressors
427,Air Tool Sets
428,Jacks
430,House Jack
431,Air Brad Nailers
432,Air Finish Nailers
433,Air Staplers
437,Air Wrenches
438,Air Sanders
444,Bike Tools
445,Bottom Bracket Tools
447,Drive Train Tools
449,Wheel Tools
452,Bike Repair Stands
454,Propane Torch Kit
466,Meters & Diagnostics
468,Multimeters
469,Power Meters
470,Non-logging Power Meters
492,Distance Meters
493,Detectors
500,Tachometers
508,Wheelbarrow
509,Safety Equipment
510,Work Gloves
511,Protective Goggles
512,Respirators
513,Safety Glasses
518,Ear Muffs
527,Automotive Tools
528,Jack Stands
529,Automotive Jacks
530,Garage Jacks
532,Automotive Ramps
533,Automotive Pressure Gauges
538,Post Hole Digger
545,Garden Tools
546,Weeders
549,Hoes
551,Hand Seeders
557,Hand Tillers
559,Planting Templates
565,Garden Hoses
570,Farm Tools
590,Manure Spreaders
605,Chainsaws
612,Pruning Saw
613,Pruning Shears
619,Hand Pump Orchard Sprayers
629,Welders
638,Welding Gloves
641,Welding Helmets
646,MIG Welders
660,Chains
661,Bungee Cords
663,Ropes
664,Flooring Tools
665,Carpet Tools
667,Carpet Roller
669,Tile Cutters
670,Hand Tile Cutter
671,Tile Nipper
672,Laminate Flooring Cutters
674,Kitchen & Dining
675,"Canning, Preserving & Homebrew"
676,Appliances
677,Cook's Tools
685,Other Kitchen & Serving
686,Food Service Displays
774,Glassware & Drinkware
776,Glassware
784,Ceramic Mugs
788,Food Storage
789,Kitchen Gadgets
792,Plates & Bowls
794,Dinner Plates
802,Small Appliances
803,Grain Mills
805,Ice Cream Makers
806,Bread Makers
807,Instant Pots
808,Slow Cookers
809,Pots & Pans
811,Induction Cooktops
821,Kitchen Appliances
826,Books
836,Magazines
837,DVD
840,CD-ROM
858,Electronics
859,Lights
860,Work Lights
861,Clamp Lights
862,Hanging Lights
869,Network Equipment
870,Network Switches
874,Network Cables
878,Controllers
879,Video Game Accessories
880,Computers
881,Laptop Computers
883,Windows Laptops
887,Keyboards & Mice
888,Wired Keyboards
889,Wired Mice
896,Monitors and Displays
897,Computer Power Adapters
900,Computer Cables
901,USB-A Cables
902,USB-C Cables
903,Displayport Cables
914,USB Chargers
915,Printers & Scanners
916,3D Printers
917,Printer Accessories
918,Label Makers
922,Black & White Laser Printers
923,Inkjet Printers
924,Multifunction Inkjet Printers
932,Video & Photography
937,Projectors
943,TVs
947,HDMI Cables
952,Video Adapters
955,Camera Lighting Equipment
964,Projector Screens
966,Camera Tripods
967,Video Switchers
971,Video Players & Recorders
973,Blu-ray Players
983,Sensors
996,Telephones
1057,iPhones
1059,Other Electronic Devices
1074,Shredders
1077,Barcode Scanners
1084,USB Flash Drives & Memory Cards
1085,VR Gear
1096,Power
1097,Power Adapters
1098,AC Adapters
1102,Power Strips
1103,Surge Protectors
1104,Power Plug & Socket Adapters
1106,Microphones
1116,Speakers & Amplifiers
1128,Audio Cables
1142,Audio Recording Gear
1146,Audio Mixers
1151,Public Address Systems
1152,Microphone Stands
1200,Sports & Outdoors
1208,Snowboards
1212,Goggles
1214,Boats & Rafts
1215,Skates
1216,Camping & Hiking
1217,Tents
1220,Hiking Backpacks
1223,Camp Stoves
1224,Two Burner Camp Stoves
1227,Liquid Fuel Stoves
1228,Water Bottles
1229,Sleeping Bags
1231,Sleeping Pads
1232,Foam Sleeping Pads
1233,Air Mattress Sleeping Pads
1235,Camping Tarps
1243,Camping & Hiking Storage
1246,Camping Chairs
