Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Tools,24,267,105,162,48,2024-01-25 11:12:00,29.6
Hand Tools,80,1355,631,724,209,2024-01-18 18:56:00,28.9
Shovels & Digging,10,56,18,38,23,2024-01-20 12:11:00,60.5
Spade Shovel,1,13,7,6,3,2018-03-21 15:09:00,50.0
Square Shovel,1,15,4,11,6,2024-01-15 19:55:00,54.5
Round Point Shovel,1,8,3,5,5,2019-06-01 10:38:00,100.0
Planters Shovel,1,5,1,4,4,2024-01-25 19:31:00,100.0
Digging Fork,1,1,1,0,0,,
Snow Shovel,1,13,2,11,8,2024-01-09 18:51:00,72.7
Rakes,11,37,11,26,7,2018-05-05 11:37:00,26.9
Metal Garden Rake,1,13,2,11,4,2022-10-15 10:29:00,36.4
Hand Rake,1,4,0,4,1,2018-03-14 20:24:00,25.0
Thatching Rake,1,1,0,1,0,,0.0
Steel Rake,1,1,0,1,0,,0.0
Leaf Rake,1,3,1,2,2,2021-04-03 11:46:00,100.0
Pruners,5,41,8,33,16,2024-01-21 16:24:00,48.5
Loppers,1,11,3,8,5,2024-01-21 16:24:00,62.5
Hand Pruner,1,25,5,20,11,2024-01-25 19:31:00,55.0
Telescopic Pruner,1,2,0,2,3,2024-01-06 11:58:00,150.0
Fruit Pickers,1,3,0,3,3,2017-09-02 10:24:00,100.0
Axes,6,19,13,6,8,2024-01-22 18:27:00,133.3
Hatchet,1,6,4,2,3,2021-06-12 09:56:00,150.0
Wedge,1,1,0,1,2,2022-02-09 20:47:00,200.0
Hand Axe,1,7,5,2,3,2024-01-22 18:27:00,150.0
Maul,1,1,1,0,1,2017-06-04 18:27:00,inf
Saws,13,183,84,99,32,2024-01-18 18:56:00,32.3
Hand Miter Saws,1,15,5,10,4,2020-10-03 11:54:00,40.0
Bow Saws,1,4,0,4,4,2022-12-03 10:53:00,100.0
Hack Saws,1,27,15,12,7,2024-01-06 11:43:00,58.3
Coping Saw,1,14,4,10,3,2022-12-18 17:00:00,30.0
Back Saws,1,17,4,13,3,2018-01-07 16:53:00,23.1
Crosscut Saws,1,2,1,1,0,,0.0
Drywall Saws,1,2,0,2,1,2018-06-20 20:45:00,50.0
Hole Saws,1,7,3,4,3,2018-08-19 17:49:00,75.0
Hole Saw Kits,1,4,2,2,4,2024-01-07 16:30:00,200.0
Key Hole Saws,1,35,20,15,4,2019-07-01 19:26:00,26.7
Wrenches,12,340,121,219,40,2024-01-21 16:34:00,18.3
Torque Wrench,1,8,1,7,9,2024-01-25 11:13:00,128.6
Pipe Wrenches,1,35,11,24,6,2017-02-01 19:01:00,25.0
Basin Wrench,1,13,2,11,2,2018-07-10 17:00:00,18.2
Belt Strap Wrench,1,12,5,7,4,2024-01-08 21:01:00,57.1
Chain Wrench,1,3,0,3,2,2017-05-10 19:07:00,66.7
Adjustable Wrench,1,54,20,34,15,2024-01-18 18:56:00,44.1
Lock Nut Wrench,1,5,1,4,1,2017-10-22 17:14:00,25.0
Open End Wrench,1,72,36,36,3,2018-05-16 19:23:00,8.3
Spanner Wrenches,1,19,2,17,0,,0.0
Wrench Sets,10,451,233,218,52,2024-01-20 12:56:00,23.9
Socket Sets,1,243,147,96,34,2024-01-20 11:56:00,35.4
Allen Wrench Sets,1,57,29,28,11,2024-01-08 18:56:00,39.3
Spark Plug Wrench Set,1,5,1,4,1,2020-01-11 12:01:00,25.0
Box Wrench Sets,1,24,8,16,2,2021-04-13 20:49:00,12.5
Ratcheting Wrench Sets,1,3,3,0,1,2018-09-04 18:16:00,inf
Open End Wrench Sets,1,3,1,2,0,,0.0
Combination Wrench Sets,1,114,44,70,7,2021-09-01 20:09:00,10.0
Measuring & Layout Tools,15,247,102,145,73,2024-01-18 18:57:00,50.3
Levels,1,52,26,26,20,2024-01-10 20:37:00,76.9
Tape Measures,1,45,31,14,4,2024-01-11 18:51:00,28.6
Calipers,1,8,3,5,2,2018-09-12 19:56:00,40.0
Chalklines,1,10,1,9,1,2018-01-27 11:08:00,11.1
Squares,1,46,11,35,21,2024-01-21 13:34:00,60.0
Yardsticks,1,6,2,4,3,2024-01-13 12:06:00,75.0
Rulers,1,20,4,16,3,2019-06-02 19:03:00,18.8
Stud finder,1,25,9,16,23,2024-01-25 18:55:00,143.8
Plumb Bob,1,1,1,0,0,,
T-Bevels,1,2,1,1,3,2024-01-16 20:22:00,300.0
Contour Gauges,1,7,3,4,3,2024-01-16 20:22:00,75.0
Compasses (drawing),1,4,2,2,1,2017-07-23 17:41:00,50.0
Marking,1,4,2,2,0,,0.0
Scrapers,5,101,47,54,16,2024-01-18 18:54:00,29.6
Paint Scraper,1,23,12,11,3,2019-09-16 18:37:00,27.3
Sidewalk Ice Scraper,1,1,0,1,1,2020-08-29 11:53:00,100.0
Planes,1,27,19,8,6,2019-06-02 19:03:00,75.0
Chisels & Gouges,4,121,59,62,32,2024-01-26 08:19:00,51.6
Cement Chisel,1,7,4,3,2,2017-07-29 09:46:00,66.7
Cold Chisel,1,8,4,4,1,2016-07-02 11:41:00,25.0
Wood Chisel,1,24,7,17,10,2024-01-26 08:19:00,58.8
Drills,1,18,8,10,9,2024-01-13 10:32:00,90.0
"Bits, Drivers and Accessories",2,112,65,47,47,2024-01-15 19:55:00,100.0
Drill Bits,1,74,38,36,42,2024-01-15 19:55:00,116.7
Screwdrivers,6,562,309,253,61,2024-01-18 18:56:00,24.1
Flat Screwdrivers,1,257,151,106,19,2024-01-08 21:03:00,17.9
Phillips Screwdrivers,1,179,115,64,16,2023-12-23 11:54:00,25.0
Torx Screwdrivers,1,36,6,30,13,2024-01-18 18:23:00,43.3
Screwdriver Sets,1,27,11,16,4,2021-09-29 19:37:00,25.0
Robertson Screwdrivers,1,9,4,5,2,2018-08-14 16:38:00,40.0
Clamps & Brackets,13,305,146,159,81,2024-01-26 08:19:00,50.9
C-Clamps,1,103,45,58,21,2022-07-31 16:45:00,36.2
Bar Clamps,1,59,26,33,40,2024-01-25 11:13:00,121.2
Corner Clamp,1,14,13,1,11,2018-01-27 12:14:00,1100.0
Quick Grip Clamp,1,54,32,22,18,2020-08-08 13:02:00,81.8
Wood Clamp,1,3,1,2,1,2023-03-01 20:51:00,50.0
Drill Press Clamps,1,1,0,1,1,2017-06-18 16:55:00,100.0
Hand Clamps,1,31,14,17,6,2017-04-15 10:18:00,35.3
Vises,1,15,6,9,6,2024-01-26 08:19:00,66.7
Pipe Clamps,1,7,2,5,3,2024-01-23 18:34:00,60.0
Web Clamps,1,8,2,6,2,2022-10-11 20:36:00,33.3
Saw Blades,4,11,3,8,3,2019-10-07 18:45:00,37.5
Table Saw Blades,1,1,0,1,1,2019-07-20 10:58:00,100.0
Dado Saw Blades,1,5,1,4,1,2018-06-06 20:55:00,25.0
Hammers & Mallets,11,140,93,47,28,2024-01-23 18:10:00,59.6
Rubber Mallets,1,15,10,5,6,2022-12-20 20:38:00,120.0
Sledgehammers,1,9,2,7,5,2022-06-07 18:51:00,71.4
Ball Peen Hammers,1,5,2,3,2,2017-10-29 17:31:00,66.7
Claw Hammers,1,91,72,19,18,2024-01-21 18:59:00,94.7
Framing Hammers,1,2,0,2,1,2016-11-30 19:25:00,50.0
Tack Hammers,1,4,0,4,1,2019-08-27 19:29:00,25.0
Ladders,10,16,4,12,9,2024-01-22 18:27:00,75.0
Step Ladders,1,5,2,3,4,2022-11-02 20:25:00,133.3
Multi Ladder,1,2,0,2,3,2024-01-22 18:27:00,150.0
Knives,5,103,67,36,18,2024-01-23 19:03:00,50.0
Linoleum Knives,1,10,4,6,2,2024-01-16 20:42:00,33.3
Putty Knife,1,18,11,7,4,2017-11-19 18:04:00,57.1
Utility Knives,1,54,37,17,12,2024-01-23 19:03:00,70.6
Wall Knives,1,1,0,1,0,,0.0
"Pliers, Cutters, and Snips",10,237,91,146,44,2024-01-18 18:34:00,30.1
Slip Joint Pliers,1,48,13,35,10,2024-01-18 18:34:00,28.6
Wire Cutters,1,39,14,25,8,2021-11-06 11:27:00,32.0
Needle Nose Pliers,1,50,24,26,9,2023-09-10 18:48:00,34.6
Lineman Plier,1,3,1,2,2,2018-05-19 09:57:00,100.0
Locking Pliers,1,4,1,3,1,2017-06-17 10:19:00,33.3
Bolt Cutters,1,9,4,5,5,2023-10-04 20:30:00,100.0
Buckets,1,37,20,17,5,2022-01-22 10:16:00,29.4
Extension Poles,1,7,0,7,5,2023-01-07 09:48:00,71.4
Brushes and Rollers,11,235,102,133,35,2024-01-25 19:31:00,26.3
Sharp Bristle Brushes,1,24,9,15,3,2018-10-20 11:40:00,20.0
Counter Brush,1,4,1,3,1,2017-05-24 19:10:00,33.3
Smoothing Brush,1,1,0,1,0,,0.0
Paint Guide,1,10,4,6,3,2017-06-14 20:23:00,50.0
Paint Roller Frame,1,54,18,36,13,2023-01-07 09:49:00,36.1
Roller Tool,1,5,1,4,2,2017-06-14 20:23:00,50.0
Sanders,1,29,18,11,5,2021-04-03 10:13:00,45.5
Strippers,1,1,1,0,0,,
Crimpers,1,12,2,10,3,2023-02-05 18:07:00,30.0
Pry Bars & Crowbars,7,49,20,29,26,2024-01-21 18:59:00,89.7
Crowbars,1,15,6,9,7,2024-01-21 18:59:00,77.8
Nail Puller,1,12,3,9,4,2023-03-04 11:16:00,44.4
Pry Bar,1,22,11,11,15,2023-10-07 10:14:00,136.4
Hand Tool Sets,1,9,3,6,1,2019-08-14 19:45:00,16.7
Trimmers,2,8,7,1,2,2018-05-05 10:12:00,200.0
Manual Hedge Trimmers,1,6,5,1,1,2022-09-18 18:20:00,100.0
Misc Hand Tools,1,47,36,11,1,2016-05-22 17:25:00,9.1
Edgers,3,12,3,9,5,2021-04-10 11:32:00,55.6
Manual Lawn Edger,1,7,1,6,5,2021-04-10 11:32:00,83.3
Manual Lawn Edger,1,7,1,6,5,2021-04-10 11:32:00,83.3
Tool Stands & Work Tables,5,33,12,21,13,2024-01-20 11:02:00,61.9
