index,Membership ID,Item ID,Checked Out,Checked In,Due Date,Late Fees To Date,Renewals
2183,0,5393,2019-10-09 20:39:00,2019-11-03 18:56:00,2019-10-27,0.0,1
2145,0,6262,2020-03-07 10:27:00,2020-03-09 18:47:00,2020-03-14,0.0,0
1676,10,3766,2017-02-11 10:46:00,2017-02-20 11:27:00,2017-02-18,0.0,0
2176,1003,5413,2017-10-07 11:55:00,2017-10-14 11:36:00,2017-10-14,0.0,0
2471,1005,380,2017-10-14 11:36:00,2017-12-09 10:43:00,2017-11-23,0.0,1
2468,1005,662,2017-10-07 10:31:00,2017-10-14 11:03:00,2017-10-14,0.0,0
2829,1005,662,2018-05-12 09:42:00,2018-05-16 17:34:00,2018-05-19,0.0,0
2470,1005,5013,2017-10-14 11:36:00,2017-12-09 10:43:00,2017-11-23,0.0,1
2830,1005,5234,2018-05-12 09:42:00,2018-05-16 17:34:00,2018-05-19,0.0,0
2469,1005,5853,2017-10-07 10:31:00,2017-10-14 11:03:00,2017-10-14,0.0,0
1245,1007,5069,2017-10-08 18:15:00,2017-10-29 15:12:00,2017-10-15,0.0,0
1246,1007,5378,2017-10-08 18:15:00,2017-10-29 15:12:00,2017-10-15,0.0,0
2462,1008,5243,2017-10-08 17:48:00,2018-06-10 17:31:00,2017-10-15,0.0,0
386,1009,4520,2017-10-08 18:36:00,2017-10-22 16:25:00,2017-10-22,0.0,1
385,1009,6028,2017-10-08 18:36:00,2017-10-22 16:25:00,2017-10-22,0.0,1
387,1009,6214,2017-10-08 18:36:00,2017-10-22 16:25:00,2017-10-22,0.0,1
384,1009,6215,2017-10-08 18:36:00,2017-10-22 16:25:00,2017-10-22,0.0,1
3931,1012,5001,2017-10-11 15:28:00,2017-10-18 18:06:00,2017-10-18,0.0,0
5506,1012,5068,2019-05-06 18:38:00,2019-05-19 16:07:00,2019-05-20,0.0,1
3281,1012,5068,2021-04-06 18:20:00,2021-04-20 18:16:00,2021-04-13,0.0,0
5507,1012,5890,2019-05-06 18:38:00,2019-05-19 16:07:00,2019-05-20,0.0,1
1621,1013,411,2018-09-08 09:32:00,2018-09-29 10:48:00,2018-09-15,0.0,0
1243,1014,3870,2017-10-11 15:49:00,2017-10-29 18:12:00,2017-10-25,0.0,1
2828,1015,4169,2018-01-31 15:36:00,2018-02-18 16:26:00,2018-02-07,0.0,0
2827,1015,6671,2018-01-31 15:36:00,2018-02-18 16:26:00,2018-02-07,0.0,0
1247,1016,4367,2017-10-14 09:29:00,2017-10-18 15:37:00,2017-10-21,0.0,0
1249,1016,4370,2017-10-14 09:29:00,2017-10-18 15:37:00,2017-10-21,0.0,0
1248,1016,5180,2017-10-14 09:29:00,2017-10-18 15:37:00,2017-10-21,0.0,0
1250,1016,5184,2017-10-14 09:29:00,2017-10-18 15:37:00,2017-10-21,0.0,0
2757,1017,2629,2017-10-14 10:59:00,2017-11-05 16:25:00,2017-10-29,0.0,1
2892,1018,100,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2920,1018,165,2018-11-17 10:12:00,2018-11-21 18:22:00,2018-11-24,0.0,0
2921,1018,166,2018-11-17 10:12:00,2018-11-21 18:22:00,2018-11-24,0.0,0
2868,1018,167,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2869,1018,168,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2924,1018,169,2018-11-17 10:12:00,2018-11-21 18:22:00,2018-11-24,0.0,0
2870,1018,170,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2926,1018,171,2018-11-17 10:12:00,2018-11-21 18:22:00,2018-11-24,0.0,0
2871,1018,172,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2872,1018,173,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2873,1018,174,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2874,1018,175,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2875,1018,176,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2932,1018,177,2018-11-17 10:12:00,2018-11-21 18:22:00,2018-11-24,0.0,0
2876,1018,178,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2877,1018,179,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
2859,1018,319,2018-08-12 15:54:00,2018-08-12 19:06:00,2018-08-19,0.0,0
2674,1018,417,2022-12-18 18:08:00,2023-01-17 18:16:00,2023-01-03,0.0,0
2675,1018,418,2022-12-18 18:08:00,2023-01-17 18:16:00,2023-01-03,0.0,0
2856,1018,475,2018-02-18 16:53:00,2018-04-08 17:26:00,2018-02-25,0.0,0
2893,1018,4552,2018-11-06 19:41:00,2018-11-21 18:22:00,2018-11-24,0.0,2
