Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Shredders,1,1,1,0,1,2022-07-24 16:14:00,inf
Storage Furniture,1,1,1,0,1,2021-03-30 20:10:00,inf
Liquid Fuel Stoves,1,1,1,0,1,2021-05-29 10:03:00,inf
Maul,1,1,1,0,1,2017-06-04 18:27:00,inf
General Measurement,1,1,1,0,1,2021-08-11 19:12:00,inf
House Broom,1,1,1,0,1,2016-10-29 10:33:00,inf
Planting Templates,2,1,1,0,1,2019-03-03 18:27:00,inf
Pots & Pans,1,1,1,0,1,2023-01-10 19:27:00,inf
Air Sanders,1,1,1,0,1,2023-12-23 12:11:00,inf
Air Mattress Sleeping Pads,1,2,2,0,1,2017-07-19 19:57:00,inf
Hammer Drills,1,3,3,0,2,2017-06-17 09:26:00,inf
Cubicles,1,1,1,0,1,2022-11-22 19:53:00,inf
Drywall Tool Sets,1,1,1,0,1,2022-07-16 09:44:00,inf
Mixers & Dispensers,2,1,1,0,1,2020-01-05 18:39:00,inf
Printer Accessories,1,1,1,0,1,2022-08-03 18:54:00,inf
Distance Meters,1,1,1,0,1,2019-12-23 18:46:00,inf
Ratcheting Wrench Sets,1,3,3,0,1,2018-09-04 18:16:00,inf
Sleeping Bags,2,1,1,0,1,2017-06-21 20:04:00,inf
Wired Mice,1,1,1,0,1,2022-06-22 20:02:00,inf
Two Burner Camp Stoves,1,1,1,0,1,2016-06-07 20:58:00,inf
Keyboards & Mice,6,4,4,0,1,2021-10-05 19:40:00,inf
Multi-surface Steam Cleaners,1,1,1,0,1,2017-08-05 10:43:00,inf
Computer Accessories,5,2,2,0,1,2021-10-05 19:40:00,inf
Glassware,1,1,1,0,1,2018-02-17 12:04:00,inf
Drill Press (hand),1,1,1,0,1,2016-10-12 20:08:00,inf
Wood,1,1,1,0,1,2016-07-09 11:56:00,inf
Jewelry & Accessories,8,1,1,0,1,2018-05-16 20:09:00,inf
Handheld Vacuums,1,1,1,0,1,2017-04-29 12:18:00,inf
Audio Recording Gear,4,1,1,0,1,2019-05-15 20:21:00,inf
Upright Vacuums,2,1,1,0,1,2019-11-16 11:02:00,inf
Waste & Trash Baskets,1,1,1,0,1,2021-01-23 09:21:00,inf
Tuck Point Trowel,1,1,1,0,1,2022-12-07 21:01:00,inf
Welding Gloves,1,1,1,0,1,2022-01-16 18:36:00,inf
Carpet Steam Cleaners,1,5,5,0,3,2021-10-13 18:18:00,inf
Corner Clamp,1,14,13,1,10,2018-01-27 12:14:00,1000.0
Steam Cleaners,5,9,8,1,4,2021-10-13 18:18:00,400.0
Chainsaws,7,7,6,1,3,2021-01-30 11:56:00,300.0
Storage Bins,2,6,5,1,2,2021-03-23 20:06:00,200.0
Corded Grinders,1,2,1,1,2,2023-06-24 09:47:00,200.0
Biscuit Joiners,1,2,1,1,2,2018-09-16 17:39:00,200.0
Joiners,4,2,1,1,2,2018-09-16 17:39:00,200.0
USB-A Cables,1,7,6,1,2,2021-10-05 19:40:00,200.0
Kitchen Gadgets,1,4,3,1,2,2022-06-26 16:59:00,200.0
Hiking Backpacks,3,3,2,1,2,2019-03-09 09:18:00,200.0
Welding Helmets,1,3,2,1,2,2018-07-22 17:56:00,200.0
Camping Tarps,1,3,2,1,2,2018-04-21 09:53:00,200.0
Telescopes,7,4,3,1,2,2016-09-18 18:39:00,200.0
Welding Safety Equipment,10,4,3,1,2,2018-07-22 17:56:00,200.0
Welders,1,3,2,1,2,2018-11-14 19:25:00,200.0
Welding,9,3,2,1,2,2018-11-14 19:25:00,200.0
Earthmoving Equipment,7,2,1,1,2,2019-01-12 09:47:00,200.0
Heavy Equipment,9,2,1,1,2,2019-01-12 09:47:00,200.0
Headlamps,1,3,2,1,2,2017-10-29 18:10:00,200.0
Trimmers,2,8,7,1,2,2018-05-05 10:12:00,200.0
Offices,1,2,1,1,2,2023-01-03 18:57:00,200.0
Projectors,6,3,2,1,2,2017-07-29 11:26:00,200.0
Video Players & Recorders,4,2,1,1,2,2022-10-02 18:18:00,200.0
Hatchet,1,6,4,2,3,2021-06-12 09:56:00,150.0
Electric Leaf Blower,1,5,3,2,3,2021-07-13 19:08:00,150.0
Wet Tile Saws,1,7,4,3,4,2018-05-19 10:20:00,133.3
Pressure Washers,2,9,6,3,4,2019-09-04 19:58:00,133.3
Hand Truck,1,6,3,3,4,2024-04-06 11:57:00,133.3
Heat Gun,1,10,7,3,4,2017-04-19 18:33:00,133.3
Sleeping Pads,3,7,3,4,5,2018-08-21 16:29:00,125.0
Angle Grinders,1,13,8,5,6,2018-07-08 15:24:00,120.0
Axes,6,19,13,6,7,2021-08-21 11:10:00,116.7
Chairs,4,43,2,41,42,2018-11-17 10:12:00,102.4
Folding Chairs,1,42,1,41,42,2018-11-17 10:12:00,102.4
Compound Miter Saws,1,1,0,1,1,2023-03-25 09:25:00,100.0
Electric String Trimmer,1,2,0,2,2,2023-05-16 19:16:00,100.0
Pets,4,3,2,1,1,2017-03-13 21:22:00,100.0
Electric Hedge Trimmers,1,5,2,3,3,2019-09-11 19:01:00,100.0
Pet Carriers,1,3,2,1,1,2017-03-13 21:22:00,100.0
Corded Trimmers,4,12,4,8,8,2024-06-09 18:03:00,100.0
Medical Equipment,22,2,1,1,1,2019-12-21 11:50:00,100.0
Electric Lawn Edger,1,3,2,1,1,2016-09-17 09:36:00,100.0
Corded Miter Saws,3,14,8,6,6,2018-07-25 20:53:00,100.0
Shears,3,3,1,2,2,2019-05-11 10:40:00,100.0
Metal Shears,1,1,0,1,1,2017-12-16 12:14:00,100.0
Musical Instrument Accessories,10,1,0,1,1,2023-11-16 18:29:00,100.0
Storage Lockers,1,1,0,1,1,2023-09-19 19:10:00,100.0
Power Drill 1/2in,1,2,1,1,1,2016-07-30 11:27:00,100.0
Label Makers,1,1,0,1,1,2022-06-28 20:56:00,100.0
Beds,1,1,0,1,1,2023-07-09 16:41:00,100.0
Toilet Auger,1,1,0,1,1,2020-01-05 16:15:00,100.0
Manual Drain Auger,1,6,3,3,3,2024-02-11 17:19:00,100.0
Center Punches,1,1,0,1,1,2019-03-09 12:07:00,100.0
Inkjet Printers,3,2,1,1,1,2018-10-13 10:13:00,100.0
Beds & Cots,4,1,0,1,1,2023-07-09 16:41:00,100.0
Joint Knives,1,5,3,2,2,2020-10-10 11:29:00,100.0
Taping Knives,1,12,8,4,4,2023-04-23 17:49:00,100.0
Data Projectors,1,1,0,1,1,2024-06-15 11:19:00,100.0
Pocket Hole Jigs,1,5,4,1,1,2018-03-31 11:35:00,100.0
Moving Blankets,1,5,1,4,4,2018-03-17 10:49:00,100.0
Monitors and Displays,1,7,4,3,3,2023-02-01 19:37:00,100.0
Pick Mattocks,1,3,1,2,2,2019-06-01 09:53:00,100.0
Awls,1,5,3,2,2,2024-06-12 19:36:00,100.0
Electric Chippers,1,1,0,1,1,2020-09-26 10:49:00,100.0
Cordless Vacuums,1,2,1,1,1,2021-10-09 11:29:00,100.0
Roto Zip,1,5,4,1,1,2018-01-07 16:58:00,100.0
Pressure Washer Attachments,1,1,0,1,1,2022-12-13 21:13:00,100.0
Detectors,1,1,0,1,1,2024-01-02 19:04:00,100.0
Kitchen Appliances,1,2,0,2,2,2023-07-29 10:21:00,100.0
Hearing Protection,3,3,1,2,2,2021-06-19 09:58:00,100.0
Ear Muffs,1,3,1,2,2,2021-06-19 09:58:00,100.0
Headwear,5,1,0,1,1,2021-12-10 20:33:00,100.0
Garage Jacks,1,1,0,1,1,2021-03-13 11:31:00,100.0
Automotive Ramps,1,3,0,3,3,2024-03-31 16:37:00,100.0
Fencing Tools,8,7,3,4,4,2023-05-06 09:27:00,100.0
Post Hole Digger,1,7,3,4,4,2023-05-06 09:27:00,100.0
Hats,3,1,0,1,1,2021-12-10 20:33:00,100.0
Instant Pots,1,1,0,1,1,2022-02-23 18:28:00,100.0
Bread Makers,1,1,0,1,1,2019-01-20 18:24:00,100.0
Pruning Saws,1,3,0,3,3,2024-05-12 18:03:00,100.0
Grain Mills,1,2,0,2,2,2022-12-18 18:08:00,100.0
Dinner Plates,1,1,0,1,1,2021-04-13 18:08:00,100.0
Gardens,1,2,1,1,1,2018-06-24 19:03:00,100.0
Laminate Flooring Cutters,1,1,0,1,1,2022-01-04 18:28:00,100.0
Activities,1,2,1,1,1,2023-05-13 11:39:00,100.0
Plates,5,1,0,1,1,2021-04-13 18:08:00,100.0
Food Service Displays,1,1,0,1,1,2018-11-20 18:51:00,100.0
Other Games,1,3,1,2,2,2017-06-10 11:45:00,100.0
Non-logging Power Meters,1,1,0,1,1,2021-01-09 12:12:00,100.0
Propane Torch Kit,1,7,4,3,3,2023-06-17 11:02:00,100.0
Propane & Gas Powered Tools,12,7,4,3,3,2023-06-17 11:02:00,100.0
Planters,1,4,2,2,2,2023-04-04 20:22:00,100.0
12v Battery Chargers,1,3,1,2,2,2024-05-04 10:28:00,100.0
Clothing,21,4,3,1,1,2018-05-16 20:09:00,100.0
Electric Concrete Stirrers,1,3,1,2,2,2022-09-27 20:01:00,100.0
Network Equipment,6,2,1,1,1,2023-08-23 18:45:00,100.0
Electric Augers & Drain Openers,1,1,0,1,1,2020-10-17 09:26:00,100.0
Helmets,1,1,0,1,1,2024-05-11 13:00:00,100.0
Electric Nailers,1,1,0,1,1,2018-03-21 18:22:00,100.0
Cordless Trimmers,1,11,6,5,5,2017-05-13 12:06:00,100.0
Cordless Circular Saw,1,4,2,2,2,2021-03-20 09:54:00,100.0
Cordless Hammer Drills,1,3,0,3,3,2022-06-19 17:04:00,100.0
Bike Repair Stands,1,3,1,2,2,2024-05-26 17:45:00,100.0
Cordless Grinders,1,1,0,1,1,2023-01-11 20:27:00,100.0
Cordless Hedge Trimmers,1,3,1,2,2,2023-07-19 20:06:00,100.0
Cordless Jigsaws,1,2,0,2,2,2024-02-21 20:42:00,100.0
Die Grinders,1,1,0,1,1,2023-06-07 21:00:00,100.0
Hanging Lights,1,13,8,5,5,2024-06-12 19:26:00,100.0
Power Sharpeners,2,1,0,1,1,2017-05-20 11:13:00,100.0
Air Tool Sets,1,1,0,1,1,2020-07-25 12:06:00,100.0
Air Finish Nailers,1,3,1,2,2,2017-02-25 09:49:00,100.0
Air Staplers,1,3,2,1,1,2017-09-13 18:36:00,100.0
Pitchfork,1,7,4,3,3,2023-03-25 09:14:00,100.0
Electric Air Pumps,1,2,1,1,1,2022-07-24 16:28:00,100.0
Audio Mixers,4,1,0,1,1,2019-08-31 11:39:00,100.0
BBQ Grills,1,1,0,1,1,2017-08-05 10:05:00,100.0
