Type,Parent Type,Full Hierarchy
root,,
Tools,root,Tools
Hand Tools,Tools,Hand Tools -> Tools
Shovels & Digging,Hand Tools,Shovels & Digging -> Hand Tools -> Tools
Spade Shovel,Shovels & Digging,Spade Shovel -> Shovels & Digging -> Hand Tools -> Tools
Square Shovel,Shovels & Digging,Square Shovel -> Shovels & Digging -> Hand Tools -> Tools
Round Point Shovel,Shovels & Digging,Round Point Shovel -> Shovels & Digging -> Hand Tools -> Tools
Planters Shovel,Shovels & Digging,Planters Shovel -> Shovels & Digging -> Hand Tools -> Tools
Digging Fork,Shovels & Digging,Digging Fork -> Shovels & Digging -> Hand Tools -> Tools
Drain Spade Shovel,Shovels & Digging,Drain Spade Shovel -> Shovels & Digging -> Hand Tools -> Tools
Roofing Shovel,Shovels & Digging,Roofing Shovel -> Shovels & Digging -> Hand Tools -> Tools
Snow Shovel,Shovels & Digging,Snow Shovel -> Shovels & Digging -> Hand Tools -> Tools
Sod Lifter,Shovels & Digging,Sod Lifter -> Shovels & Digging -> Hand Tools -> Tools
Rakes,Hand Tools,Rakes -> Hand Tools -> Tools
Metal Garden Rake,Rakes,Metal Garden Rake -> Rakes -> Hand Tools -> Tools
Wooden Leaf Rake,Rakes,Wooden Leaf Rake -> Rakes -> Hand Tools -> Tools
Expansion Rake,Rakes,Expansion Rake -> Rakes -> Hand Tools -> Tools
Hand Rake,Rakes,Hand Rake -> Rakes -> Hand Tools -> Tools
Concrete Rake,Rakes,Concrete Rake -> Rakes -> Hand Tools -> Tools
Thatching Rake,Rakes,Thatching Rake -> Rakes -> Hand Tools -> Tools
Steel Rake,Rakes,Steel Rake -> Rakes -> Hand Tools -> Tools
Leaf Rake,Rakes,Leaf Rake -> Rakes -> Hand Tools -> Tools
Weeding Rake,Rakes,Weeding Rake -> Rakes -> Hand Tools -> Tools
Row Marking Rake,Rakes,Row Marking Rake -> Rakes -> Hand Tools -> Tools
Pruners,Hand Tools,Pruners -> Hand Tools -> Tools
Loppers,Pruners,Loppers -> Pruners -> Hand Tools -> Tools
Hand Pruner,Pruners,Hand Pruner -> Pruners -> Hand Tools -> Tools
Telescopic Pruner,Pruners,Telescopic Pruner -> Pruners -> Hand Tools -> Tools
Fruit Pickers,Pruners,Fruit Pickers -> Pruners -> Hand Tools -> Tools
Axes,Hand Tools,Axes -> Hand Tools -> Tools
Hatchet,Axes,Hatchet -> Axes -> Hand Tools -> Tools
