Transaction ID,Member ID,Date,Payment Method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
184477,83,1/2/2016 1:05 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,fsh,,
184477,83,1/2/2016 1:05 PM,Cash,,,,,,,,,,,,,,,,,,
184486,83,1/2/2016 1:14 PM,,,,,,,,Membership Change,,,,,regular,,,,Bil,,
184486,83,1/2/2016 1:14 PM,,,,,,,,Check Out,,,676.0,3/8 Power Drill,,,,,Bil,,
184486,83,1/2/2016 1:14 PM,Cash,,,,,,,,,,,,,,,,,,
187062,84,1/11/2016 11:33 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,wfl,,
187062,84,1/11/2016 11:33 AM,Cash,,,,,,,,,,,,,,,,,,
187071,85,1/11/2016 12:22 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,tea,,
187071,85,1/11/2016 12:22 PM,Cash,,,,,,,,,,,,,,,,,,
187958,83,1/14/2016 7:15 PM,,,,,,,,Loan Return,,,676.0,3/8 Power Drill,,,,,Bil,,
187958,83,1/14/2016 7:15 PM,Cash,,,,,,,,,,,,,,,,,,
188548,51,1/16/2016 1:34 PM,,,,,,,,Loan Return,,,5.0,Cranium,,,,,Gin,,
188548,51,1/16/2016 1:34 PM,Cash,,,,,,,,,,,,,,,,,,
188554,0,1/16/2016 1:45 PM,,,,,,,,Loan Return,,,6.0,Telescope,,,,,Gin,,
188554,0,1/16/2016 1:45 PM,Cash,,,,,,,,,,,,,,,,,,
188627,86,1/16/2016 4:27 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,Sup,,
188627,86,1/16/2016 4:27 PM,Cash,,,,,,,,,,,,,,,,,,
188971,55,1/18/2016 3:50 PM,,,,,,,,Check Out,,,4103.0,Hand Sander,,,,,Bil,,
188971,55,1/18/2016 3:50 PM,Cash,,,,,,,,,,,,,,,,,,
189536,87,1/20/2016 12:18 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,aha,,
189536,87,1/20/2016 12:18 PM,Cash,,,,,,,,,,,,,,,,,,
189801,88,1/21/2016 2:06 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,rsd,,
189801,88,1/21/2016 2:06 PM,Cash,,,,,,,,,,,,,,,,,,
190634,89,1/23/2016 4:47 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,pas,,
