Member ID,Confirmed?,Sex,Age,Member Created (M/D/YYYY),Start of first full membership (M/D/YYYY),Current Membership Type,"Latest Membership Change (request, upgrade, renewal, cancellation...) (M/D/YYYY)",Current Membership Expiration (M/D/YYYY),Renews Automatically,Automatically Pay Statements,User Note,User Warning,Opening Balance,Opening Balance Date (M/D/YYYY),Household Type,"Single, non-elderly",Elderly,Single Parent,Two Parents,Female Head of Household,Household income range,Household income range Value,Ethnicity,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other,Number of disabled people in household,Renter/Homeowner,Renter/Homeowner Value,Household Size
34,True,,,7/13/2015,,Request_CheckIDAddressPhoneDOB,7/12/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
51,True,,,7/22/2015,7/21/2015,regular,6/27/2021,7/21/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
62,False,,,10/19/2015,,Request_CheckIDAddressPhoneDOB,10/19/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
82,False,,,1/1/2016,5/27/2018,regular,2/13/2019,2/13/2020,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
347,False,,,10/13/2016,10/12/2016,regular,10/12/2016,10/12/2017,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
3415,True,,27.0,11/10/2021,11/10/2021,regular,11/10/2021,11/10/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
711,False,,,6/1/2017,5/31/2017,ExtremelyOverdueItems,5/5/2019,,False,False,Patron was emailed 01/23/2019 regarding overdue items. - Maren,"Patron has not responded to inquiries about severely overdue tools. They should return them before checking out more tools. - Maren  5810	dremel	
4969	Rotary dremel bit kit",,,[],,,,,,,,[],,,,,,,,,,,
410,True,,,11/22/2016,,Request_CheckIDAddressPhoneDOB,11/21/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2262,False,female,2.0,6/26/2019,6/25/2019,regular,6/25/2019,6/25/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2754,False,,70.0,2/9/2020,,Request_CheckIDAddressPhoneDOB,2/9/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3361,False,,45.0,10/8/2021,,Request_CheckIDAddressPhoneDOB,10/7/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1825,True,female,48.0,11/19/2018,11/18/2018,regular,11/18/2018,11/18/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2027,False,male,54.0,3/27/2019,,Request_CheckIDAddressPhoneDOB,3/26/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1010,True,female,37.0,10/9/2017,,Request_CheckIDAddressPhoneDOB,10/8/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2519,False,,,10/6/2019,,Request_CheckIDAddressPhoneDOB,10/6/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
773,False,male,22.0,7/6/2017,,Request_CheckIDAddressPhoneDOB,7/5/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
264,False,would rather not say,23.0,8/7/2016,8/7/2016,regular,8/7/2016,8/7/2017,False,False,,,,,['4'],,,,Y,,4.0,High,['5'],,,,,Y,,,0,1.0,Homeowner,3.0
1628,True,female,120.0,8/10/2018,8/12/2018,regular,8/12/2018,8/12/2019,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
553,False,female,50.0,3/18/2017,3/18/2017,regular,12/10/2020,11/23/2021,False,False,,,,,['4'],,,,Y,,3.0,Moderate,['5'],,,,,Y,,,,0.0,Renter,3.0
2860,True,,32.0,6/8/2020,,Request_CheckIDAddressPhoneDOB,6/7/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2547,False,male,28.0,10/17/2019,,Request_CheckIDAddressPhoneDOB,10/16/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3210,True,,28.0,7/4/2021,7/6/2021,regular,7/6/2021,7/6/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1588,True,,30.0,7/23/2018,7/22/2018,regular,8/22/2020,8/22/2021,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
630,False,,,4/29/2017,4/29/2017,regular,4/29/2017,4/29/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2638,True,,,12/1/2019,12/1/2019,regular,7/17/2021,7/17/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
2705,True,,49.0,1/14/2020,1/19/2020,regular,5/15/2021,5/15/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
2709,True,,30.0,1/16/2020,,Request_CheckIDAddressPhoneDOB,1/16/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2127,True,,,5/7/2019,,Request_CheckIDAddressPhoneDOB,5/6/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1624,True,male,,8/9/2018,8/8/2018,regular,7/28/2019,8/8/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
64,True,male,38.0,10/23/2015,,Request_CheckIDAddressPhoneDOB,10/23/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
536,True,male,42.0,3/5/2017,3/5/2017,regular,3/5/2017,3/5/2018,False,False,,,,,['1'],Y,,,,,2.0,Low,['5'],,,,,Y,,,,0.0,Renter,2.0
1306,False,male,38.0,4/1/2018,4/1/2018,regular,4/1/2018,4/2/2019,False,False,,,,,['1'],Y,,,,,4.0,High,['5'],,,,,Y,,,,0.0,Renter,2.0
1537,True,,52.0,6/30/2018,7/1/2018,regular,6/19/2021,6/19/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1981,True,,,3/12/2019,3/11/2019,regular,3/11/2019,3/11/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1996,True,,,3/18/2019,,Request_CheckIDAddressPhoneDOB,3/18/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2339,True,,,7/29/2019,,Request_CheckIDAddressPhoneDOB,7/29/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3094,True,,53.0,3/29/2021,10/13/2021,regular,10/13/2021,10/13/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3441,True,female,26.0,12/3/2021,,Request_CheckIDAddressPhoneDOB,12/2/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3199,False,,27.0,6/19/2021,6/19/2021,regular,6/19/2021,6/19/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2028,False,female,40.0,3/27/2019,3/26/2019,ExtremelyOverdueItems,10/14/2019,,False,False,"Patron emailed about overdue items September 17, 2019","ID	Item	Checked Out	Checked In	Due Date	Amount Paid	Late Fees Due	Actions
452	dremel bits	3/26/2019		4/2/2019		$19.50	 Details
5519	dremel	3/26/2019		4/2/2019		$19.50	 Details
7010	hammer, claw	3/26/2019",,,[],,,,,,,,[],,,,,,,,,,,
2192,False,,,5/30/2019,,Request_CheckIDAddressPhoneDOB,5/29/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2376,True,,,8/17/2019,9/14/2019,regular,3/27/2021,3/27/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
375,False,male,,10/26/2016,10/26/2016,regular,10/26/2016,10/26/2017,False,False,,,,,['1'],Y,,,,,2.0,Low,['5'],,,,,Y,,,0,1.0,Homeowner,1.0
2782,True,,47.0,2/20/2020,2/19/2020,regular,2/19/2020,2/19/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3285,True,,55.0,8/26/2021,,Request_CheckIDAddressPhoneDOB,8/26/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1144,False,,,1/9/2018,,Request_CheckIDAddressPhoneDOB,1/9/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1847,True,,,12/6/2018,12/5/2018,regular,12/5/2018,12/5/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3612,False,,28.0,3/20/2022,,Request_CheckIDAddressPhoneDOB,3/20/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3378,True,,25.0,10/17/2021,,Request_CheckIDAddressPhoneDOB,10/17/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2736,False,,30.0,2/1/2020,2/1/2020,regular,2/1/2020,2/1/2021,False,False,,,,,['1'],Y,,,,,3.0,Moderate,['2'],,Y,,,,,,,0.0,Renter,1.0
629,True,female,39.0,4/27/2017,4/29/2017,regular,4/29/2017,4/29/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2089,False,,,4/24/2019,4/23/2019,ExtremelyOverdueItems,10/14/2019,,False,False,"Patron emailed about overdue items September 17, 2019",7235	screwdriver,,,[],,,,,,,,[],,,,,,,,,,,
2241,False,would rather not say,31.0,6/16/2019,,Request_CheckIDAddressPhoneDOB,6/16/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
