Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Tools,20,179,35,144,14,2022-02-27 18:33:00,9.7
Hand Tools,80,1157,305,852,138,2022-06-04 09:07:00,16.2
Shovels & Digging,10,41,4,37,15,2022-05-18 20:19:00,40.5
Spade Shovel,1,9,2,7,3,2018-03-21 15:09:00,42.9
Square Shovel,1,14,1,13,4,2020-07-11 10:27:00,30.8
Round Point Shovel,1,8,1,7,7,2022-05-25 19:37:00,100.0
Planters Shovel,1,2,0,2,1,2021-08-07 11:43:00,50.0
Snow Shovel,1,7,0,7,5,2019-02-16 10:17:00,71.4
Rakes,11,27,4,23,7,2018-05-05 11:37:00,30.4
Metal Garden Rake,1,8,0,8,4,2022-05-22 17:52:00,50.0
Hand Rake,1,1,0,1,1,2018-03-14 20:24:00,100.0
Thatching Rake,1,1,0,1,0,,0.0
Leaf Rake,1,2,0,2,2,2021-04-03 11:46:00,100.0
Pruners,5,34,6,28,10,2019-05-11 10:01:00,35.7
Loppers,1,9,2,7,5,2022-06-01 18:59:00,71.4
Hand Pruner,1,20,3,17,6,2019-05-05 17:46:00,35.3
Telescopic Pruner,1,2,1,1,2,2021-07-17 11:01:00,200.0
Fruit Pickers,1,3,0,3,3,2017-09-02 10:24:00,100.0
Axes,6,16,6,10,10,2022-06-01 18:59:00,100.0
Hatchet,1,4,3,1,3,2021-06-12 09:56:00,300.0
Wedge,1,1,0,1,2,2022-02-09 20:47:00,200.0
Hand Axe,1,6,2,4,2,2022-05-07 09:34:00,50.0
Maul,1,1,0,1,2,2022-05-07 09:34:00,200.0
Saws,13,163,48,115,26,2022-05-31 18:50:00,22.6
Hand Miter Saws,1,14,2,12,5,2020-10-03 11:54:00,41.7
Bow Saws,1,4,0,4,3,2022-04-20 05:35:00,75.0
Hack Saws,1,25,11,14,8,2022-05-18 18:16:00,57.1
Coping Saw,1,10,1,9,2,2017-10-21 10:56:00,22.2
Back Saws,1,15,3,12,3,2018-01-07 16:53:00,25.0
Crosscut Saws,1,1,1,0,0,,
Drywall Saws,1,2,0,2,1,2018-06-20 20:45:00,50.0
Hole Saws,1,4,0,4,3,2018-08-19 17:49:00,75.0
Hole Saw Kits,1,2,0,2,2,2021-09-12 18:52:00,100.0
Key Hole Saws,1,35,12,23,4,2019-07-01 19:26:00,17.4
Wrenches,12,278,63,215,21,2022-06-01 19:56:00,9.8
Torque Wrench,1,5,0,5,3,2022-04-27 20:01:00,60.0
