,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
0,34,True,unknown,,2015-07-13,,Request_CheckIDAddressPhoneDOB,2015-07-12,,,,,,,,
1,51,True,unknown,1955,2015-07-22,2015-07-21,regular,2021-06-27,2022-07-21,,,,,,,
2,62,False,unknown,,2015-10-19,,Request_CheckIDAddressPhoneDOB,2015-10-19,,,,,,,,
3,82,False,unknown,,2016-01-01,2018-05-27,regular,2019-02-13,2020-02-13,,,,,,,
4,347,False,unknown,,2016-10-13,2016-10-12,regular,2016-10-12,2017-10-12,,,,,,,
5,3415,True,unknown,27,2021-11-10,2021-11-10,regular,2021-11-10,2022-11-10,,,,,,,
6,711,False,unknown,,2017-06-01,2017-05-31,ExtremelyOverdueItems,2019-05-05,,,,,,,,
7,410,True,unknown,,2016-11-22,,Request_CheckIDAddressPhoneDOB,2016-11-21,,,,,,,,
8,2262,False,female,2,2019-06-26,2019-06-25,regular,2019-06-25,2020-06-25,,,,,,,
9,2754,False,unknown,70,2020-02-09,,Request_CheckIDAddressPhoneDOB,2020-02-09,,,,,,,,
10,3361,False,unknown,45,2021-10-08,,Request_CheckIDAddressPhoneDOB,2021-10-07,,,,,,,,
11,1825,True,female,48,2018-11-19,2018-11-18,regular,2018-11-18,2019-11-18,,,,,,,
12,2027,False,male,54,2019-03-27,,Request_CheckIDAddressPhoneDOB,2019-03-26,,,,,,,,
13,1010,True,female,37,2017-10-09,,Request_CheckIDAddressPhoneDOB,2017-10-08,,,,,,,,
14,2519,False,unknown,,2019-10-06,,Request_CheckIDAddressPhoneDOB,2019-10-06,,,,,,,,
15,773,False,male,22,2017-07-06,,Request_CheckIDAddressPhoneDOB,2017-07-05,,,,,,,,
16,3666,False,unknown,27,2022-04-24,,Request_CheckIDAddressPhoneDOB,2022-04-24,,,,,,,,
17,3664,True,unknown,30,2022-04-21,,Request_CheckIDAddressPhoneDOB,2022-04-21,,,,,,,,
18,264,False,would rather not say,24,2016-08-07,2016-08-07,regular,2016-08-07,2017-08-07,,,,,Y,,
19,1628,True,female,120,2018-08-10,2018-08-12,regular,2018-08-12,2019-08-12,,,,,,,
20,553,False,female,51,2017-03-18,2017-03-18,regular,2020-12-10,2021-11-23,,,,,Y,,
21,2860,True,unknown,32,2020-06-08,,Request_CheckIDAddressPhoneDOB,2020-06-07,,,,,,,,
